Glen Summers
Marcus Smith
Frank Griffiths
Jamie Charpentier
Kerry Matthews
Karl Diaz
Frederick Parker
Nigel Gonzalez
Justin Freeman
Joel Valette
Douglas Roberts
Eric Strickland
Ashley Arnold
Charles Clark
Peter Bourdon
Théodore Jones
Philippe Langlois
Justin Maréchal
Joseph Guilbert
Roger Guibert
Cole Gilles
Eugène Cole
Jorge Hall
Alexandre Fontaine
Bruce Morales
Joel Albert
Thibaut Iqbal
Leon Moreau
Billy Gibson
William Miller
Arthur Dufour
Daniel Roche
Jules Rogers
Dylan Rowland
Ronald Baker
Alexander Pearce
Colin Gregory
Thibault Christian
Martin Oliver
Gerald Lloyd
Nathan Sanchez
Thibault Walters
Matthew Smith
Bradley Ramsey
Ross Kim
Christophe Chauvin
Alphonse Neveu
Yves Shaw
Aaron Martin
Robert Robin
William Rossi
Michael King
Ronald Fontaine
Augustin Moore
Emmanuel Duhamel
Aimé Didier
Tony Evans
Bernard Martin
Antony Martins
Henri Mitchell
Charles Tanguy
Colin Hensley
Luis Hamon
Franck Salmon
Jack Hubert
Abdul Hebert
Andrew Reynolds
Glenn Salmon
Philip Gill
Jacques Scott
Robert Nicholson
Richard Cohen
Thierry Fabre
Stéphane Gomes
George Davis
Matthew Bertrand
Malcolm Davis
Ricardo Kelly
Roland Prévost
John Allen
Adrien Ellis
Jack Petitjean
Michel Germain
Ryan Dijoux
Louis Raynaud
Scott Smith
Jeffrey West
Tyler Gros
Jack Wilson
André Ayala
Jason Robinson
Bernard Martin
Leonard Lesage
Stephen Baker
Julian Lopez
Honoré Noël
Graham Andrade
Kyle Chartier
Mark Mary
Jean Leleu
Marcus Berthelot
Tom Jones
Stuart Dufour
Jacob Howard
Alexandre Collet
Ross Rodriguez
Laurent Seguin
Brian Gilles
Damien Patel
Denis Dufour
Grégoire Le goff
Stéphane Diallo
Daniel Guillet
Gilbert Grant
Gerald Descamps
Georges French
Randall Martel
Christopher Walker
Russell Flores
François Maury
Éric Callahan
Trevor Holmes
Jared Taylor
Daniel Oliver
Dillon Graham
Lewis Bryant
Joseph Lee
Stewart Royer
Jules Thomas
Steven Godard
Joe Buisson
Antoine Matthews
Brandon Evans
Dennis Boyle
Jeffrey Watson
Christophe Perkins
Scott Blankenship
Arthur Lopez
Joshua Chandler
Ralph Denis
Justin Cabrera
Grégoire Meyer
Jason Dale
Mohammed Boulay
Adam Webb
Wayne Pope
Gilles Maréchal
Dennis Singh
Ronald Norton
Hugues Hoareau
Éric Good
Robert Harper
Paul Pages
Daniel Miranda
Joseph Wilson
Russell Larson
René Cox
Ruben Griffiths
Robert Parkes
Samuel Lagarde
Mathew Wilson
Paul Hanna
Thibault Nicholls
Maurice Blanchard
Olivier Bègue
Greg Lecoq
Gavin Weber
Jacob Bryant
Jason Mitchell
Abdul Gomez
Tony Evrard
Elliot Marsh
David Mcbride
Peter Humphries
Eric Guillot
Adrian Descamps
Nicholas Morales
René Faivre
Benjamin Simpson
Reece Mcdaniel
Duncan Lopez
Douglas Ramos
Zacharie Chauvin
Stuart Wilson
Andrew Clerc
Derek Ribeiro
Connor Mann
Eric Diallo
Matthew Simon
Craig Walters
Peter Perrot
Frank Garza
Brian Collins
Ethan Ruiz
Victor Sutton
Stuart Diaz
Bernard Williams
Julian Rowe
Robert Charrier
Gerard Collet
Andrew Gordon
Alfred Gilbert
Adrian Lefort
Callum Meunier
Alexandre Neveu
Gérard Reed
Jonathan Anderson
Keith Schroeder
Randy Godard
Mathew Combs
Kenneth Glover
Donald Auger
Aimé Kelly
Grégoire Fontaine
William Moore
Adrien Brown
Robert Wilkinson
Carl Morgan
Thomas Robinson
Éric Le roux
Isaac Poirier
Roland Davies
Howard Shannon
Nathan Wallace
Albert Dunn
Thomas Fox
Adrien Morris
Jean Michel
Daniel Lejeune
Brian Pinto
Martin Cousin
Toby Gutierrez
Tom Bertin
Bruce Delorme
Luke Gray
Denis Brewer
Gilbert Kirby
Franck Bernier
Gilles Garza
Bruce Guerrero
Elliot Ward
Trevor Miller
Richard Vazquez
Antony Dorsey
Christopher Moss
André Harrison
Lucas Michaud
Luc Parry
Fernando Thibault
Stephen Leroy
Alexander Michaud
Martin Blanchard
Adrien Fabre
Brett Scott
Augustin Pottier
Carl Matthews
John Webb
Bryan Fitzgerald
Benjamin Guérin
Stéphane Marchand
Adrien Robinson
Michael Barbe
Théophile Diaz
Robert Mahe
Marcel Cohen
Steven Begum
Clifford Jones
Roland Lee
Charlie Chase
Benjamin Petitjean
Gabriel Hall
Hunter Campbell
Kieran Lewis
Isaac Lesage
Elliot Herrera
Abdul Peterson
Victor Lacroix
Isaiah Duncan
Jacques Godard
Étienne Colin
Matthew Pichon
Robert Sandoval
Sébastien Reynolds
Yves Bruneau
Steven Tate
Dylan Turner
Gregory Langlois
Maurice Mccormick
William Teixeira
Jay Walsh
Honoré Duncan
Brett Vincent
Ross Richards
Michael Martinez
Terry Holmes
Michael Hunt
Gordon Ashton
Honoré Thomas
Daniel Gimenez
Ryan Wyatt
Raymond Boyer
Vincent Guillet
Thomas Taylor
Tristan Renault
Luke Bond
Daniel Palmer
Victor Pasquier
Christopher Browning
Honoré Sanchez
Alphonse Deschamps
Manuel Ball
Trevor Wyatt
André Charles
Marcel Garrett
Simon Jones
Augustin Lenoir
Jacob Johnson
Benjamin Jean
Guy Cantu
Louis Maury
Adrian Baldwin
Derrick Fox
Francis Fields
Sébastien Menard
David Poulain
Mohammed Newton
Garry Mitchell
John Fouquet
Victor Maurice
Ricky Normand
Christophe Royer
Rémy Jefferson
David Roberts
Kevin Woods
Théophile Price
Jose Techer
Mark Roux
Ashley Rivera
Édouard Curtis
Bernard Stephens
John Bowen
Allan Russell
Hugh Allard
Nathan Michael
Hugues Bazin
Aimé Cortez
David Nash
Damien Myers
Victor Bourdon
Jean Bousquet
Samuel Hurst
Nathan Chung
Daniel Blanc
Timothy Peters
Aimé Le gall
Jacob Matthews
Franck Nguyen
Alexandre Ashley
Derek Anderson
Joshua Cole
Mark Roberts
Bruce Long
James Montgomery
Victor Vincent
Bradley Poole
Billy Zhang
Daniel Phillips
Éric Robinson
Grégoire Lees
Connor Roberts
Connor Walls
Anthony Fuentes
Henri Leduc
Timothy Todd
Dean Ray
Ryan Bender
Marc Bailey
Shaun Pineau
Ian Howard
Joseph Kennedy
André Wright
Zachary Thompson
Zacharie Evans
Dale Rey
John Burton
Théodore Rémy
Mohammed Texier
Richard Matthews
Daniel Martin
Benjamin Moss
Russell Georges
Philippe Perry
Christophe Guillon
Théophile Chapman
James Howell
Dominic Sauvage
Malcolm Reynolds
Maurice Cox
Jeffrey Duncan
Christopher Brown
André Sherman
Tony Hoarau
Martyn Toussaint
Daniel Landry
Cameron Gallagher
Rhys Weber
Gordon Hamilton
Anthony Brown
Raymond Faure
Laurent Garcia
Duncan Hoover
Miguel Holmes
Jeffery Wright
Philippe Wall
Edward Reynolds
Jacques Dodd
Robin Nelson
Brandon Griffiths
Gabriel Raymond
Guillaume Gros
Luc Scott
Jacob Henderson
Louis Langlois
Christopher Smith
Omar Moore
Brett Ward
Zacharie Kemp
Manuel Hernandez
Ryan Rosales
Jason Day
Jacques Leduc
Hugh Gallagher
Matthew Jones
Matthieu Delahaye
Clayton Brunet
Alain Wilson
Sébastien Thomas
Daniel Davidson
Neil Martel
Daniel Kennedy
Isaac Chrétien
Jerry Pope
Tom Evans
David Richardson
Shaun Cooper
François Harvey
James Murphy
Alan Parks
William O'neill
Geoffrey Hart
Gregg Chapman
Travis Raymond
Timothy Lopez
Shaun King
Carl Allen
Dale Payet
Bernard Hill
Joseph Godard
John Pope
Dwayne Harris
Bryan Smith
Maurice Petitjean
Marcus Jacquet
Neil Delattre
Tom Vallet
Louis Palmer
Timothy Reynolds
Alan Gilbert
Joel Watson
Howard Salmon
Zachary Baxter
Joel Clayton
Roger Philippe
Luke Bailey
Jean Cantu
Ryan Cohen
Émile Prévost
Louis Ali
Émile Stephens
Christian Stone
Cameron Quinn
Théodore Gonzalez
Léon Thompson
Luke Wood
Noah Duncan
Franck Kerr
Scott Raymond
Émile Harrington
Victor Hanson
Matthieu Hoffman
Matthieu Graham
Jordan Guichard
Douglas Clayton
Brian Lewis
Malcolm Davies
Alain Wood
Raymond Williams
Thomas Clarke
Aimé Harmon
Julien Watson
Daniel Picard
Karl Roux
Richard Edwards
Mathew Samson
Thierry Jackson
Howard Summers
Grégoire Allen
Dylan Andersen
Ian Peterson
Ryan Boulanger
Justin Jordan
Lewis Shaw
David Lawson
Cody Payne
Stephen Smith
Thierry Philippe
David Antoine
Darren Lane
Samuel Brown
Stéphane Hoffman
Lawrence West
Graeme Collins
Gabriel Brunet
Toby Cox
Allen Young
Xavier Bourgeois
Jack Besson
Michel Gordon
Terry Dobson
Graeme Anderson
Théophile Weiss
André Perez
Oscar Daniels
Toby Lee
Maurice Dupré
Sean Charles
Lewis Armstrong
Jonathan Baker
Sean Jones
Stephen Guibert
Jérôme Ledoux
Gavin Seguin
Laurent Robinson
Kevin Jones
Jason Gonzalez
Mark Curtis
Guy Verdier
Xavier Marchand
Maurice Webb
Carlos Harris
James Ford
Benjamin Campbell
Martyn Bates
Nicolas Stephenson
Aimé Arnold
Joseph Myers
Anthony Gosselin
Johnathan Ramsey
Benoît Dumas
Jack Stewart
Adrien Smith
William Davis
Jesse Faulkner
Stephen Baker
Dennis Ali
Gilbert Nicholls
Anthony Guillaume
Howard Ollivier
Cory Rose
Jack Rey
Paul Rossi
Mohammed Nichols
Patrick Turner
Bruce Henry
Jesus West
Augustin Rodriguez
Michel Diaz
Jesse Yates
Adrien Thomas
Raymond Hernandez
Jake Howell
Émile Durand
Howard Guillet
Colin Knight
Terry Parsons
Zacharie Johnson
Allan Aguilar
Denis Ledoux
Georges Turpin
Shaun Crawford
Erik Gray
Julien Caron
Éric Williamson
Andres Dias
Anthony Smith
Émile Turner
Pierre Jones
Jonathan Spencer
Luc Meyer
Antony Jones
Derek Hebert
Guy Smith
Christopher Bertin
Denis Cooper
Frédéric Lopes
Jacques Leblanc
Graham Gilles
Christian Clark
Brian Dixon
Denis Dupré
David Juarez
Leigh Léger
Jesse Stafford
Franck Robinson
Alphonse Green
William Clarke
Dale Obrien
Nicolas Field
Théophile Jackson
Robin Gough
Mark Sanders
Frédéric Porter
Trevor Barthelemy
Daniel Montgomery
Shaun Bentley
Édouard Hurst
Théophile Cousin
James Mahmood
Cory Besnard
Bertrand Campos
Gabriel Joyce
Andrew Barlow
Joe Renaud
Jamie Jacquet
James Perez
Kieran Phillips
Emmanuel Marques
Norman Mace
Alex Shaw
Stephen Williams
Gilles Carr
Michael Norman
Antoine Howell
Joel Williamson
Callum Hamilton
Daniel Lebon
Dennis Vasseur
Joseph Pinto
Mohammed Benson
Phillip Murphy
Richard Taylor
Ryan Lombard
Daniel Abbott
Austin Guyon
Jonathan Singh
Brent Green
Daniel Rees
Timothy Blot
Fernando Young
Antony Smith
Timothy Caron
Andrew Bennett
Timothée Merle
Mario Rosales
Jonathan Hudson
Thierry Grondin
Norman Stevens
Gregory White
David Auger
Denis Cameron
Augustin Paul
Timothy Toussaint
Noah Meunier
Shawn Elliott
Connor Bauer
Adrian Blanchard
Richard Hebert
Richard Young
Josh Harding
Jeffery Owen
Thomas Bennett
Glenn Guillon
Michel Besson
Gabriel Morel
Mark Lebreton
Marcus Roy
Raymond Hall
Thomas Price
René Denis
Paul Salmon
Louis King
Théophile Nichols
Tony Jackson
Jacques Bigot
Augustin Lucas
Justin Mahe
Jay Martin
Louis Harris
Georges Hamilton
Jonathan Morales
Thomas Payne
Aaron Hill
Alain Hodgson
Joseph Williams
Jamie Dupuis
Leigh Gray
Jonathan Sanchez
Thierry Miller
Jamie Morel
William Hayward
Terry Lambert
Allan Johnson
Ronald Baxter
Aimé Rodriguez
Zacharie Watts
Jacob Lefebvre
Robert Nguyen
Louis Booth
Maurice Brady
Jeremy Pottier
Bradley Martinez
René Booth
Brian Dawson
John White
Jérôme Ramirez
Victor James
Joshua Cooper
Christopher Doherty
Christopher Chevallier
Jay Turner
Scott Lemoine
Travis Duran
James Clark
Augustin Grondin
Jeffery Evans
Frank Peters
Timothy Paris
Robert Larson
Toby Voisin
Jake Riley
Iain Williams
Stephen Santos
Timothy Johnson
Jason Denis
Raymond Aubry
Frank Taylor
François Chauvin
Alexander Terrell
Thomas Turpin
Honoré Dumas
Donald Gaillard
Andrew Shepherd
Erik Faure
Lewis Bennett
François Woods
Jacques Cohen
Daniel Evrard
Gary Willis
Josh Meyer
Melvin Jarvis
Kevin Bradley
Kyle Franco
Étienne Maurice
Augustin Lewis
Robert Lee
Justin Hanson
Thomas Jones
Luc Auger
Tony Bazin
Louis Taylor
Andrew Roberts
Guy Lang
Robert Ferrell
Mark Fouquet
Carlos Kelly
Mark Marchand
Daniel Tanguy
Max Collet
Yves Couturier
Michael Blin
Damian Hoarau
Marcus Da costa
Grégoire Thompson
Michael Wood
Shane Harrison
Noël Andrews
Pierre Hoareau
Eric Campbell
Victor Gautier
Edwin Lee
Dominic Hill
Cameron Ross
Damien Burns
Michael Leconte
Nicholas Briand
Barry Ball
Max Morrow
Ronnie Delannoy
Dustin Denis
Stephen Suarez
Lewis Smith
James Rodgers
Ian Peck
Stephen Brown
Ethan Watson
Garry King
Michael Graham
Mark Barry
Jeremy Marty
Harry Rasmussen
Corey Mitchell
Matthew Walker
Stephen Briggs
Étienne Ferguson
Brian Price
Arthur Mcgee
Jacques Morales
Shaun Buisson
Ernest Wallace
Guillaume Martin
Howard Smith
Dennis Thomas
Mark Page
Gérard Becker
Roy Davies
Maurice Allen
François Barnes
Andrew Horton
Gilles Sanchez
Joshua Weiss
Adrian Weiss
Justin Newton
Antony Atkins
Pierre Burton
Donald Sharp
Ross Baudry
Raymond Brunet
Edward Sheppard
Jeffery White
Martin Dufour
Darrell Moss
Jack Davies
Gilbert Sullivan
Jérôme Brooks
Max Aguilar
Ben Anderson
Martin Fischer
David Smith
Matthew Taylor
Bernard Singh
Denis Colin
Thierry Jimenez
Malcolm Joseph
Maurice Marsh
Joseph Roberts
Joshua Simon
Noah Davis
Robert Morgan
Jérôme Graham
Lucas Morin
Émile Vallée
Anthony Huet
Daniel Griffiths
Honoré Cook
Joseph Ramos
Tony Mann
Edward Weber
David Bennett
Duncan Vaillant
Léon Acosta
Hugues May
Brandon Harris
Jake Giraud
Kevin Grenier
Dominic Wilson
Troy Bowers
John Rios
Charles French
Scott Brennan
Alfred Marty
Jason Turner
Jérôme Holt
Alex Smith
Yves Field
Malcolm Stevens
Ronald Sutton
Julien Peacock
Michael Richardson
Sébastien Texier
Jérôme Brown
Alvin Turnbull
Timothée James
Matthew Allen
Joseph Buckley
Pierre Klein
Hugh Sweeney
Brian Louis
Gilles Hervé
