Coriolano Cuzzocrea
Piergiuseppe Patel
Martino Fabrizi
Allan Jones
Michele Phillips
Gilberto Crespi
Richard Wood
Franco Barton
Liberto Adinolfi
Pierangelo Finch
Venancio Columbo
Benito Baker
Ezio Ceri
Giacinto Cagnin
Jay Harrison
Jake Evans
Phillip Monte
Kieran Short
Elliot Kelly
Lodovico Robinson
Piergiorgio Williams
Glen Ferraris
Amico Hardy
Vincentio Ferrabosco
Nicholas Richards
Frank Visintini
Mario Franceschi
Valerio Pometta
Dale Carriera
Gilberto Barese
Michelotto Ginese
Alan Ortolani
Alan Innocenti
Phillip Burke
Joseph Roberts
Manuel Leone
Rocco Cossiga
Laureano Casaleggio
Coluccio Bersani
Peter Barnett
Osvaldo Contrafatto
Lodovico Bodoni
Allan Wilson
Owen Martinelli
Mohammed Dickinson
Edward Bassi
Virgilio Carli
Antony Wilson
Charlie Weston
Ricciotti Grant
Orlando Walker
Delfino Mitchell
Danny Peranda
Federico Robertson
Gerard Nicholls
Daniele Sorrentino
Dominic Begum
Gerard Casarin
Giancarlo Anderson
Antonio Thompson
Allan Sokolov
Mario Gualandi
Bernardo Vidoni
Ryan Collins
Orazio Ricolfi
Valerio Stewart
Salvatore Baker
Raffaele Curtis
Terry Gulotta
Ignazio Piacentini
Elliott Stevenson
Marc Turati
Ignazio Antonini
Toni Adams
Nico Foconi
Sandro Davies
Robert Walsh
Massimiliano Ramazzotti
Nigel Orsini
Umberto Marconi
Ivo Holt
William Lewis
Ashley Shaw
Bartolomeo Giannetti
Stewart Dunn
Nigel Moore
Damien Carducci
Damien Corcos
Justin Antonioni
Galasso Hargreaves
Kyle Pucci
Gianni Richardson
Gastone Guarneri
Marcello Fibonacci
Gianpietro Brambilla
Eric Matteotti
Atenulf Stoppani
Bradley Bixio
Sam Dobson
Sante Ziani
Luke Sinclair
Anthony Montanari
Shane Scarpa
Alan Blake
Liam Pearce
Charlie Chiesa
Bartolomeo Carnera
Guy Soffici
Tony Veltroni
Wayne Filzi
Ennio Jones
Graeme Torlonia
Liberto Travia
Gerard Hughes
Gianpietro Cole
Vincent Berry
Tom Jones
Franco Belletini
Ottavio Horton
Mitchell Strangio
Albert Khan
Gianluigi Querini
Augusto Armellini
Garry Coles
Marcantonio Williams
Stanley Vismara
Tiziano Ferrari
Paride Taylor
Leon Bryant
Adamo Turrini
Gioachino Pedersoli
Virgilio Reeves
Darren Letta
Fiorenzo Santoro
Declan Pisani
Graham Treves
Max Salvini
Alex Bresciani
Laureano Sutton
Callum Zamorani
Alexander Mattarella
Maurice Walsh
George Casini
Hugo Murray
Martyn Gargallo
Ludovico Green
Pier Sanudo
Ivo Hammond
Vincentio Davis
Fausto Bryan
Derek Wright
Andrew Lewis
Gianpaolo Callegaro
Calogero Barnes
Allan Hicks
Garry Stewart
Roman Foster
Dante Foconi
Ryan Murri
Connor Sermonti
Dylan Barton
Donald Brown
Camillo Parkes
Galasso Cattaneo
Gary Bixio
Barry Querini
Roman Thompson
Luchino Giammusso
Albert Bailey
Benjamin Mantegna
Nicola Mercantini
Livio Simpson
Vincentio Morgan
Keith Patel
Camillo Mills
Clifford Lloyd
Christopher Ross
Ottavio Malatesta
Massimiliano Baxter
Gavin Hunter
Rembrandt Roberts
Riccardo Ceschi
Raffaello Bowen
Leonardo Soprano
Luciano Smith
Gianluca Nash
Marc Hutchinson
Tom Meucci
Armando Hudson
Costanzo Wood
Leonardo Roccabonella
Piero Ostinelli
Julian Hughes
Karl Knowles
Renzo Salvemini
