Marisela Cabo
Alfredo Vigil
Andrés Parejo
Hugo Cazorla
Enrique Pardo
Mario Pozuelo
Isabela Espinal
Uriel Rosario
Diego Díaz
Epifanio Cantón
María luisa Cornejo
Roberto Montemayor
Ana De la fuente
Santos Cervántez
Cirino Carrión
Nayeli Cabán
Fidel Villa
José luis Poza
Ruperto Briones
Sosimo Cuervo
Jeremías Merino
Nico Villena
Heraclio Marquez
Horacio Jaén
Conchita Bueno
Leonel Cepeda
Zeferino Moreno
Cornelio Armas
Leticia Caraballo
Paco Noriega
José manuél Girón
María teresa Castillo
Abel Cabanillas
Basilio Chaves
Marco antonio Peña
Rosalia Revilla
Nilo López
Gustavo Melgar
Dionisio Vallés
Manuel Anaya
Nicodemo Quintanilla
Aurelio Montoya
Javier Cano
Timoteo Uribe
Amílcar Arredondo
Amelia Guevara
Jaqueline Espinoza
Aida Vicens
Jerónimo Avilés
Ramón Mariscal
Rosalia Brito
Virgilio Iglesia
Gabriela Cabrero
Óscar Enríquez
Dalia Madrid
Vasco Bustamante
Uriel Valls
Elena Rubio
Jorge luis Peres
Aureliano Quintero
Alberto Castillo
Sigfrido Ochoa
Pánfilo Tamez
Heraclio Calderón
Judith Amador
Julián Figueroa
León Montenegro
Arsenio Santillán
Natalio Bauzà
Tomás Valcárcel
Asdrubal Cantú
María Aguilera
Claudio Esteve
Donato Navarrete
Rocío Piñeiro
Ernesto García
Sandra Calderón
Norma Murcia
Herberto Hierro
Pascual Gutierrez
Chuy Acosta
Clímaco Borrego
Micaela Arriaga
Abelardo Zelaya
Isabela Sevilla
Socorro Raya
Minerva Gómez
Clara Mateu
Josefina Puerta
Pancho Lloret
Fernando Quesada
Eloisa Quintanilla
Pascual Alarcón
Venceslás Paredes
Emigdio Mendez
Alejo Benítez
Jacobo Guitart
Nazaret Casares
Esther Gurule
Alfonso Jaime
Noelia Zelaya
Reynaldo Ferrer
Damián Barrena
Natalia Hurtado
Susana Cantero
Guadalupe Agustí
Rafaél Morán
Leonel Campoy
Rodolfo Benítez
Luisa Grijalva
Eric Orozco
Heriberto Batalla
María Zapata
Gerardo Soria
Rosario Acosta
María Yáñez
Natividad Haro
Adolfo Castells
Tomás Prada
Diego Narváez
Bernardo Ocasio
Gerónimo Hernández
Guillermo Menéndez
Felipe Escribano
Silvano Ariza
Camilo Aparicio
Elena Sisneros
Teodosio Seguí
Anselmo Grijalva
Laura Expósito
Roberto Nieves
Miguel Torralba
Susana Montoya
Yeni Arias
Segismundo Estrada
Enrique Anaya
Benito Ruiz
José ángel Artigas
Francisca Mena
Jesús Arana
Abigail Valadez
Abraham Jordá
Emigdio Viña
Citlali Alberto
Porfirio Coronado
Humberto Rocha
Amando Pina
Jose miguel Zabaleta
Felix Llobet
Buenaventura Montenegro
Raúl Vela
Abilio Rodríquez
Ofelia Serna
Anacleto Valles
Pancho Lloret
Adán Canales
Antonia Toro
Elsa Diaz
Elías Falcón
Fulgencio Alarcón
Ciro Sepúlveda
Nicolás Ayala
Ofelia Montes
José luis Berrocal
Baudelio Girona
Salvador Quintana
Josep Rosselló
Emilia Cuellar
Alejandra Naranjo
Gilberto Ríos
Jordán Zarate
Gregorio Valdez
Martín Palma
Alejandro Orta
Natalia Lovato
Víctor Esquivel
Patricia Roura
Gustavo Perales
Natalia Barroso
Jorge Rodríguez
Julio césar Verduzco
Camila Zambrano
Ildefonso Vázquez
José manuel Rico
Natalia Ramírez
Pedro Holguín
José antonio Orellana
Flavio Montes
Adalberto Durán
Abel Rascón
Rosendo Blanco
Román Bahena
Leocadio Heras
Carla Montes
Julio Arredondo
Nando Madrigal
Emilio Escrivá
David Mesa
Federico Bayón
Alma Borja
Esparta Reyes
Sonia Guillén
Marcos Cañete
Gregorio Gamez
Teo Arias
Victoria Garrido
Toño Pina
Elvia García
Horacio Ferrer
Benito Calzada
Elisa Franco
Edgardo Abril
Cristian Padilla
Trinidad Ortega
Mariano Cañas
Alberto Mir
Eustaquio Gil
Leoncio Jaime
Gloria Camacho
Yuridia Hidalgo
Raquel Castelló
Gilberto Piquer
Esperanza Duarte
Carmen Carnero
Nando Niño
Diana Garibay
Rosa León
Blas Ferreras
Omar Angulo
Nico Guzman
Celso Guardia
Omar Iglesias
Esmeralda Botello
Fabiola Chacón
Abigail Zaragoza
Dalia Prado
Trinidad Martínez
Nando Fuentes
Renato Armenta
Zacarías Solano
Karla Alvarado
Adela Holguín
Débora Fuentes
Óscar Acuña
Eloy Morán
Rafael Roldán
Gilberto Tovar
Ibán Cabañas
Marc Granado
Socorro Meza
María Badía
Aida Ortega
Tomás Arguello
Ofelia Gamboa
Luz Sureda
Tadeo Marquez
Alfredo Roldán
Francisco Ybarra
Teodoro Bonet
Valerio Arellano
Nicolás Caballero
Evelio Guillen
Jacinto Serna
Rubén Ayala
Martha Pons
Hilda Valenciano
Tania Montaño
Evelio Múgica
Nacho Cañete
Albert Mate
Teodoro Moya
Erasmo Carretero
Ana Dueñas
Venceslás Frutos
Eloisa Alfonso
Isabela Griego
Alonso Cabello
Cornelio Cornejo
Leoncio Palacios
Ramiro Ríos
Salvador Farías
Luz Valles
Eleuterio Tormo
Ilse Villalpando
Samu Aguilar
Jerónimo Tijerina
Antonia Alejandro
Ilse Gallart
Gerónimo De jesús
Antonio Contreras
Rosalia Santacruz
Inés Rosario
Reynaldo Bustos
Francisca Hernandes
Rogelio Casado
Luis manuel Hernández
Natalia Jover
Anabel Urbina
Mitzy Chavarría
Leonel Barrientos
Cruz Otero
Flavio Ulibarri
Toni Aguayo
Cleto Escribano
José manuél Toledo
Demetrio Mas
Bautista Báez
Kike Ponce
Norma Brito
Custodio Prat
Mónica Cifuentes
Trinidad Sanches
León Morera
Nelly Orozco
Bernardo Pellicer
Elvia De la crúz
Carmen Comas
Eliseo Viñas
Claudia Serna
Jafet Rey
Adán Ávila
Galo Vallejo
Fabiola Márquez
Margarita Bermúdez
Elisa Posada
Noé Figueras
Teófilo Verdugo
Citlali Carbonell
Miguel ángel Patiño
Mario Briones
Margarita Serrano
Arsenio Rocha
Maximiano Planas
José luis Manuel
Gastón Vera
Débora Corominas
Reynaldo Rosselló
Manolo Santos
Karina Machado
Sergio Porras
Olegario Apodaca
Alcides Pomares
Régulo Pavón
Primitivo Lugo
Leonor Bou
Mónica Quero
Elisa Márquez
Mariana Sans
Noelia Valverde
Amador Lucio
Godofredo Menchaca
María luisa Tirado
Martha Villanueva
Iván Díaz
Laura Madrid
Rosa Sevillano
Octavio Galán
Bartolomé Godoy
Asunción Escobar
Aurelio Ródenas
Benito Escobar
Donato Montoya
Mateo Dueñas
Jose manuel Hierro
Abraham Barrera
Manolo Mármol
Eusebio Benavides
Héctor Uribe
Gerónimo Lucero
Marisol Canals
Patricia Coronado
Eduardo Pulido
Celestino Toledo
Claudio Clavero
Iván Zelaya
Epifanio Barreto
Marcelino Baeza
Israel Carnero
Marco Rubio
Poncio Montoya
Liliana Calvillo
Tadeo Hurtado
Marcelino Pereira
Nazaret Chapa
Gloria Carrera
Asdrubal Corona
Carolina Neira
René Solorio
Renato Angulo
Jorge Ozuna
José luis Berrocal
Valero Amat
Itzel Salinas
Claudio Patiño
Pamela Valdez
Leocadio Vizcaíno
Humberto Cantero
Jose carlos Toro
Ofelia Corominas
Augusto Bonilla
Luciano Fonseca
Elpidio Rozas
Óscar Muñoz
Aida Ramón
Gabriela Berríos
Sergio Nogués
Maxi Maya
Jose miguel Folch
Citlali Monroy
Rufino Serrano
Elpidio Rosa
Verónica Casanova
Elpidio Cortés
Albert Frutos
Joel Casanova
Patricia González
Emilio Moya
Ruben Tejada
Guadalupe Macias
Josep Riojas
Berto Cuéllar
Hilario Bravo
Aurelio Ornelas
Gerardo Saldaña
Juan carlos Ávalos
Karina Ávila
Ariel Cazorla
Esteban Tejada
Octavio Montero
Horacio De la o
David Bernal
Josué Maldonado
Aurelio Ros
Patricio Esparza
Andrés Puga
Jose ramón Infante
Sosimo Barrios
Adán Jimínez
Aurelio Vilanova
Primitivo Hurtado
Noemí Suarez
Gustavo Ontiveros
Edgardo Ulibarri
Hernán Vanegas
Indira Rico
Dimas Carreón
María del carmen Fuertes
Genaro Pizarro
Gil Valle
Teresa Medina
Eugenio Piquer
César Ureña
Felix Pombo
Ramón Portero
Guadalupe Sainz
Cornelio González
Emilio Montenegro
Abraham Ybarra
Cristian Rivera
Trinidad Robledo
Bartolomé Merino
Itzel Padrón
Carlos Robles
Melchor Landa
Salma Apodaca
Flavio Maestas
Eliseo Villa
Vicente Rascón
Víctor Sánchez
Gloria Zorrilla
Elsa Malave
Rosa Muñoz
Esmeralda Enríquez
Dulce maría Pineda
Cynthia Delgado
Zacarías Zepeda
Rodrigo Anaya
Emiliano Valdez
Alta  gracia Rocha
Tristán Ornelas
Agustín Jimenez
Lucas Ballesteros
Olivia Barraza
Débora Cabañas
Nilo Carbajal
Esparta Calderón
Helena Amor
Iker Holguín
Sancho Alfaro
Eduardo Bayón
Lalo Morell
Norma Rincón
Teresa Montenegro
Carlos Comas
José ángel Carnero
Bonifacio Calderón
Zeferino Burgos
Elias Campos
Yolanda Ibarra
Cristal Muñiz
Agustín Rangel
Hipólito Coloma
Arsenio Roldán
Urbano Salas
Raúl Almansa
Jose antonio Pereira
Lope Espinosa
Rico Botello
Rosario Acevedo
Jacobo Zambrano
Sergio Ponce
Armando Quintana
Ambrosio Ceja
Leocadio Cotto
Araceli Estrada
Bernardo Trujillo
Esther Reyes
Marisol Tello
Noemí Nazario
Sandra Vergara
Santos Arnaiz
René Cabrera
Uriel Luque
Irene Herranz
Bernardino Abella
Alma Munguía
Rodrigo Villaseñor
Octavio Viera
Benito Torrecilla
Adalberto Valenzuela
Rufino Hinojosa
Nilo Vázquez
Rubén Ocampo
Celia Porta
Joaquín Escobedo
Gilberto De la rosa
Cristal Amor
Sancho Torrents
Emilio Villalobos
Esmeralda Larrañaga
Raquel Bauzà
Reyes Rico
Noelia Juliá
Maximiliano Vilalta
Elias Rangel
Ofelia Madrid
Ana luisa Cárdenas
Cynthia Rosell
María del carmen Arredondo
José carlos Castellanos
Ismael Bayona
Sabas Ayuso
Guillermina Cruz
Albano Espinosa
Anacleto Pizarro
Daniela Colomer
Uriel Griego
Dani Roldán
Quique Oliva
Nicodemo Tejera
Olivia Malave
Aurelio Jerez
Genaro Madrigal
Miguel Neira
Jose manuel Duran
Rodolfo Álvarez
Balduino Salazar
Arcelia Campoy
Anastasio Acevedo
Alvaro Leiva
Ángel Carrasco
Horacio Cepeda
Jose angel Jimenez
Jonatan Bas
Camilo Barón
Héctor Cabrera
Basilio Salcido
Emilia Valenzuela
Gloria Morell
Gerardo Cervantes
Alonso Villegas
Telmo Navarrete
Diana Rivero
Damián Casals
Roberto Muro
Georgina Rojas
Eduardo Meléndez
Gastón Ferrández
Ovidio Gaytán
Marcos Cazorla
Lucho Velásquez
Isabela Nieto
Aldonza Espinosa
Abilio Barrios
Martin Espinal
Horacio Roybal
Manuel Samaniego
Moisés Orellana
Alicia Solé
Florencio Gálvez
Fito Hernando
Nelly Mercader
René Angulo
Urbano Aguayo
Alberto Agustí
Cristian Aguilar
Chema Tomás
Alejo Gonzalo
Zacarías Mayo
Ramiro Gomila
Micaela Mejía
Modesto Arco
Leopoldo Armas
Gervasio Andreu
Amalia Ulibarri
Wálter Cepeda
Pedro Reséndez
Ulises Quezada
Úrsula Navas
Benigno De la rosa
Felix Tovar
Elvira Arteaga
Margarita Vila
Jose antonio Domínguez
Marco Mateos
Pío Leiva
Basilio Ruelas
Cipriano Alonso
Arturo Alonso
Mónica Ledesma
Nicolás Frutos
Eustaquio Santacruz
Aldonza Montes
Juan carlos Simó
Cristian Espejo
Camilo Conde
Félix Polo
Dulce Jaime
Anastasio Rivera
Angélica Suarez
Goyo Garza
Hector Padilla
Ernesto Cazares
Graciela Madrid
Casemiro Santana
Jose Chapa
Clímaco Aguiló
Nicodemo Contreras
Claudio Ibarra
Jesús Corona
Óscar Bauzà
Juan Estrada
Ariadna Mora
Apolinar Quiroz
Simón Arce
Calisto Barrios
Fabiola Segura
Elisa Holguín
Santiago Urrutia
Marcela Navarro
Ignacio Huerta
Martin Báez
Judith Tomás
Benito Bayona
Marco Salgado
Fito Gonzalo
Graciano Llabrés
Vicente Riera
Jaime Cuevas
Alfonso Pineda
