Afonso Amoa
Harry Asare
António Wiafe
David Moura
Wilson Nascimento
Francisco Guerreiro
Sérgio Yirenkyi
Justin Barbosa
Santiago Ampadu
José Tawia
Stephen Ntiamoa
Joshua Sousa
Shaun Opoku
Donald Boadu
Arthur Adu
Diego Adomah
Nuno Osei
Albert Adomako
Dinis Melo
Gabriel Ampadu
Joojo Boahen
Cristiano Okyere
Bernardo Quartey
Kwamena Guerreiro
Elliot Maia
Kévim Baah
William Nyaako
Kyle Amaral
Arthur Correia
Victor Gyamfi
Emanuel Figueiredo
Cláudio Daako
Jason Sá
Akwesi Correia
Xavier Ansa
Shaun Barbosa
Ben Leal
Kwaku Brito
Vasco Amoasi
Carlos Nyantakyi
Ismael Leal
Ângelo Ofori
Louis Ankra
Mathew Adusei
Alex Gaspar
Michael Brito
Santiago Leal
Bryan Osei
Álvaro Nyaako
Diego Akyeamfuɔ
Nelson Coelho
Edgar Machado
Bryan Amo
Alexander Coelho
Pedro Adomako
Diogo Yaamoa
Sam Figueiredo
Gil Monteiro
Frederico Adomako
Emanuel Kumi
Wilson Baafi
Leonardo Sousa
Joshua Agyei
Julian Lourenço
Joel Assunção
Pedro Azevedo
Jake Teixeira
Jason Fernandes
Diego Yeboa
Vasco Bonsra
John Adusei
Alexander Leal
Manuel Maia
Emanuel Tavares
Simão Asante
Artur Magalhães
Kwesi Asiama
Stanley Twumasi
Peter Owusu
Márcio Ntim
Martim Ofosu
Noa Badu
Albert Nti
Leonardo Amoasi
Kwabena Carvalho
João Moura
Tomás Nkansa
Vasco Domingues
Christian Reis
Ronald Duah
Vítor Fonseca
Diego Boahen
Manuel Daako
Duarte Oppong
Edgar Santos
Sebastião Prempeh
Duncan Neves
David Afoakwa
Bruce Agyemang
Vasco Baafi
Nelson Silva
Afonso Opuku
William Neves
Danny Adu
Elliott Quartey
Marco Ampofo
Emanuel Esteves
Daniel Amo
Lisandro Asenso
Vicente Correia
Luke Batista
Noa Kyei
Samuel Baa
Edgar Ramos
Kujoe Figueiredo
William Mensa
Mark Adusei
Alex Assunção
Bruno Maia
Douglas Machado
Kevin Nsia
Kyle Macedo
Michael Esteves
Fábio Kusi
Valentim Barbosa
Tony Safo
Gonçalo Ata
Noa Kumi
Luís Danso
Howard Gyasi
Ismael Nkansa
Manuel Osei
Danny Amo
Kévim Loureiro
Edgar Acheampong
Emanuel Ramos
Julian Amo
Renato Karikari
Stanley Otiwa
Kyle Antunes
Vasco Ata
Manuel Nyame
Andrew Fofie
Akwesi Miranda
Justin Oppong
Abeiku Ofosu
Jacob Akyeampong
Xavier Asamoa
Howard Opuku
Eduardo Ampadu
Jeffrey Opoku
Guilherme Amoa
Dinis Santos
Mathew Magalhães
Noa Gonçalves
Rafael Carneiro
Gregory Ofori
Nicholas Baptista
Tiago Martins
John Maia
Mark Fosu
Sam Lima
Diego Kwarteng
Robert Baawia
Kujoe Gonçalves
Vincent Asare
Arthur Figueiredo
Gonçalo Donkor
Mateus Twumasi
Márcio Simões
Sandro Paiva
Andrew Adomako
Sam Wiafe
Mateus Yeboah
Kyle Cunha
Kyle Fonseca
David Santos
Brian Gaspar
Derrick Carvalho
Patrick Ampofo
Kwamena Cardoso
Ivan Mendes
João Akyeamfuɔ
Nelson Agyapong
Benjamim Asamoa
César Maia
Duncan Almeida
Simon Almeida
Derrick Branco
Andrew Valente
Luke Awuah
Luke Esteves
William Sarpong
Ivo Antwi
Cristiano Cruz
Mário Mensah
Ricardo Gonçalves
Douglas Morais
Gregory Pinho
Sebastião Gonçalves
Jack Nti
Fábio Reis
Josh Silva
Terence Gonçalves
Bernardo Baptista
Cláudio Soares
Isaac Gaspar
Sebastião Pires
Luís Oppong
Antony Nogueira
Tomé Adusei
Jaime Ansa
Douglas Nunes
Lawrence Rodrigues
Vicente Monteiro
Ronald Ribeiro
Denis Martins
Kevin Bonsu
Bryan Asiedu
Yaw Daako
Derrick Owusu
Dominic Barros
António Gyasi
Ivo Daako
Ivo Magalhães
Xavier Freitas
Sérgio Carneiro
Tomás Sarpong
Louis Agyei
Bernardo Omani
Gaspar Tavares
Louis Safo
Wilson Nascimento
Diogo Amo
Jeremy Twumasi
Kwabena Akyena
Marcus Anokye
Hugo Baafi
Kofi Nyame
Ivan Reis
Derrick Osei
Luca Esteves
Oliver Neves
Philip Oppong
Martim Neto
Josh Ferreira
Edgar Asamoah
Lucas Ampadu
Frank Magalhães
Jaime Torres
Paul Torres
Adrian Gyamfi
Abeiku Batista
Peter Fofie
Jorge Monteiro
Matias Acheampong
Miguel Tavares
Daniel Cunha
Clifford Cunha
Diogo Leal
Ivo Pires
Andrew Agyei
Jaime Soares
Tony Oti
Denis Antunes
Louis Awuah
Renato Quartey
Lucas Yawson
Daniel Fofie
Bernardo Lourenço
Mauro Nascimento
Valentim Oti
Graham Rodrigues
Lisandro Yeboa
Gabriel Neto
Bruno Ntiamoa
Joel Bonsu
Jaime Leal
Marcos Adomako
Vasco Adutwum
Frederico Mensa
Peter Moura
Akwesi Fonseca
Martim Soares
Brian Agyapong
Christian Gonçalves
Douglas Pereira
Marcos Okyere
Mário Fofie
Graham Barbosa
Gerald Nti
Noah Appia
Filipe Asare
Jaime Pacheco
Isaac Baptista
Igor Yeboa
Akwasi Donkor
Edgar Reis
Sebastião Ofosu
Dennis Asante
Sandro Castro
Kevin Monteiro
Derrick Antunes
João Akoto
Kofi Antunes
Jeffrey Lourenço
Lisandro Gomes
Vincent Torres
Santiago Boahen
Alexandre Garcia
Ronald Kwaakye
Manuel Vicente
Max Ahortor
Samuel Nti
Kevin Carvalho
Renato Domingues
Oliver Guerreiro
Gustavo Owusu
Abeiku Correia
Jonathan Appiah
André Asare
Rui Brito
Gonçalo Baah
Guilherme Alves
Jake Silva
Colins Gomes
Howard Gomes
Henrique Quartey
David Fernandes
Kweku Magalhães
Patrick Rocha
Douglas Boaten
James Adutwum
Ronald Safo
Gaspar Agyemang
David Tweneboa
Valentim Pereira
Gil Kwaakye
Josiah Garcia
Jeremy Akyeamfuɔ
David Batista
Adam Costa
Raymond Morais
Elliot Adutwum
Tomás Rodrigues
Mateus Figueiredo
Jacob Nti
Emanuel Moreira
Wilson Freitas
Kwadwo Lopes
Josh Carneiro
Clifford Leal
Simão Macedo
Anthony Loureiro
Anthony Safo
Guilherme Baawia
Ronald Oppong
Filipe Matos
Joel Assunção
Bernard Boadu
Rúben Amorim
Bernardo Boaten
Antony Appia
Kwabena Abreu
Kujoe Yaamoa
Ronald Mensa
Dennis Adomako
Kwaku Morais
Rúben Lima
Julian Rocha
Stanley Danso
Benjamin Agyare
Nigel Machado
Victor Leite
Nuno Otiwa
Joel Baa
Pedro Boaten
Miguel Agyei
Gregory Almeida
Roger Akowua
Salvador Barbosa
Jason Baafi
William Azevedo
Colins Amorim
Bruce Baawia
Danny Agyemang
Albert Kwarteng
Lourenço Adutwum
Miguel Nyantakyi
Stephen Cardoso
Rui Afirifa
Kevin Amoasi
Paulo Antwi
Jack Asamoa
Carlos Boahen
Marcus Moreira
Philip Agyei
Kwesi Vieira
Sandro Fofie
Ismael Asiama
Benjamin Bonsu
Colins Safo
Diogo Yawson
Akwesi Amponsah
Guilherme Dwamena
Rúben Tavares
Louis Brito
Pedro Azevedo
Gordon Tutu
Nathan Kwaakye
John Vicente
Tony Pinheiro
Henry Paiva
Jason Daako
Alex Miranda
Adrian Karikari
Enzo Asenso
Mauro Dwamena
Carl Acheampong
Afonso Simões
Matthew Loureiro
Mário Henriques
Antony Omani
Rui Tawia
Diego Akyerεko
Leonardo Magalhães
Tomé Azevedo
Robert Karikari
Philip Monteiro
Josiah Rocha
Álvaro Koomson
Manuel Tweneboa
Max Nsia
Renato Yawson
Lourenço Ferreira
Richard Otuo
Abeiku Osei
Francis Nyame
Shaun Vieira
Enzo Pinheiro
Diogo Adusei
Luís Fonseca
Nelson Mensah
Joel Koomson
Diogo Baafi
Karl Yeboa
Sérgio Sousa
Gaspar Jesus
Matias Antwi
Rui Figueiredo
André Agyapong
Peter Omani
Renato Yeboa
Colins Sá
Terence Paiva
Igor Campos
Elliott Adomah
Stephen Darko
Russell Appia
Steven Araújo
Luke Yeboa
Denis Nascimento
Marcos Bona
Benjamim Antwi
Russell Boadu
Álvaro Gonçalves
Benjamin Nyame
Stanley Kwarteng
Rúben Moreira
Benjamin Morais
Isaac Valente
Steven Freitas
Duncan Boaten
Karl Baah
Artur Amoako
Lucas Reis
António Kumi
Martin Daako
Victor Kusi
Kwadwo Dwamena
Wilson Tawia
Roger Abreu
Mauro Monteiro
Colins Adu
Sandro Antwi
Kévim Adutwum
Artur Magalhães
Patrick Nyaako
Max Adutwum
César Kumi
Malcolm Anokye
Tony Daako
Noah Akyeampong
Carl Vaz
Akwasi Miranda
Kwadwo Bona
Cláudio Ankra
Malcolm Correia
Benjamim Nkrumah
Derrick Adutwum
Nicholas Yeboah
Lourenço Nascimento
Edgar Appia
Anthony Tawia
André Valente
Louis Lopes
Ivo Nkansah
Donald Agyare
Elliott Amoako
Jacob Martins
Christian Boahen
Rafael Mendes
Gregory Santos
Nathan Antwi
Ismael Ofori
Lourenço Gyasi
Benjamin Afoakwa
Ângelo Ahortor
Fernando Oppong
Frank Asamoa
Ekow Simões
Martim Fonseca
Fernando Andorful
Oliver Gomes
Hugo Agyei
Ivan Reis
Donald Macedo
Jake Owusu
Mathew Opoku
Nelson Ribeiro
Ismael Jesus
Vítor Nogueira
Hugo Faria
Benjamim Oti
Jeffrey Kwaakye
Kujoe Akyeampong
Stephen Duah
Denis Okyere
Frederico Obeng
Frank Nkrumah
Rui Machado
Marcus Oppong
Sebastião Kwaakye
Simon Pires
Christian Agyei
Lawrence Nyantakyi
Sandro Asenso
Duarte Dwamena
Noa Borges
Donald Ramos
Andrew Vieira
Ismael Pires
Yaw Nogueira
Isaac Daako
Salvador Domingues
Diogo Macedo
Bruce Ntim
Renato Neto
Valentim Neves
Frank Borges
Pedro Akyeamfuɔ
Mateus Almeida
Anthony Akowua
Joshua Campos
Santiago Maia
Joseph Loureiro
Hugo Dwamena
César Baafi
Russell Appiah
Micael Araújo
Gregory Martins
Jacob Gyamfi
Elliott Yaamoa
Nicholas Lourenço
Sérgio Almeida
Lucas Oppong
Cláudio Nyantakyi
Frederico Carneiro
Elliott Akyeamfuɔ
Tomás Asenso
Fiifi Tavares
Santiago Adusei
Filipe Akyerεko
Marco Araújo
Álvaro Kyei
Antony Campos
Nelson Amo
Kujoe Melo
David Coelho
Eduardo Wiafe
Samuel Sá
Jonathan Faria
Bernardo Obeng
Bernard Nunes
Marcus Batista
Frederico Boaten
Joe Assunção
Manuel Boateng
William Abreu
César Melo
Artur Araújo
Arthur Guerreiro
Samuel Kyei
Kofi Akyena
Arthur Matos
Tom Safo
Kojo Araújo
Kwabena Karikari
Robert Paiva
Paulo Asare
Leandro Mensa
Luís Prempeh
André Costa
Santiago Afirifa
Ângelo Borges
Tony Agyapong
Bernard Antunes
Harry Vieira
Brian Duah
Tomé Akyeamfuɔ
Dinis Magalhães
Gordon Amoako
Kwabena Boakye
Salvador Pinto
Mateus Ampadu
Jorge Castro
André Ofosu
Kujoe Almeida
Richard Acheampong
Samuel Safo
Vincent Reis
Jaime Bonsra
Marcus Fosu
Brian Gomes
João Akyena
John Henriques
Yaw Azevedo
Valentim Monteiro
Valentim Carneiro
Cláudio Boahen
Victor Nyantakyi
Tony Baawia
Dinis Quartey
Danny Duah
David Akyeampong
Afonso Ansa
Gerald Soares
Denis Baafi
Bryan Opoku
Isaac Santos
Hugo Santos
Tony Paiva
Kojo Duah
Akwasi Mensah
George Azevedo
Arthur Akyeamfuɔ
Terence Mota
Christian Ribeiro
Karl Dwamena
Rui Maia
Lourenço Jesus
Kojo Sá
Dennis Adu
Dennis Karikari
Frederico Alves
Alex Akowua
Fábio Paiva
Gaspar Osei
Karl Amponsah
Louis Almeida
Marcus Faria
Bruno Faria
Joaquim Sousa
Rodrigo Teixeira
Peter Gyasi
José Figueiredo
Benjamin Neto
Martim Ntim
Emanuel Ampofo
Daniel Castro
Ivo Pereira
Raymond Amponsah
Nelson Matias
Kwame Barros
Antony Takyi
Leandro Martins
Luke Bonsra
Sebastião Safo
Marcus Wiafe
Donald Maia
Martim Adutwum
Gerald Adutwum
Carl Oti
Isaac Pereira
Antony Reis
Andrew Campos
Abeiku Nunes
Richard Yeboah
Rafael Figueiredo
Valentim Gomes
Jorge Nsia
Kwesi Loureiro
Kevin Nkrumah
Isaac Asiedu
Rodrigo Nyame
Lisandro Donkor
Frederico Moura
Isaac Yawson
Isaac Domingues
Mark Karikari
Josiah Vieira
Eric Jesus
João Donkor
Rúben Akyeampong
Albert Gyamfi
Kevin Assunção
Malcolm Pereira
Ivo Macedo
Fiifi Amoasi
Derrick Asiama
Anthony Nunes
Luís Ntiamoa
Anthony Jesus
Mathew Fernandes
Jason Kwaakye
Eric Simões
Lawrence Afirifa
Yaw Garcia
David Pinho
Luca Duah
Leandro Ampofo
Joaquim Santos
Denis Torres
Micael Takyi
Christian Akyerεko
Joshua Ata
Vincent Takyi
Mark Carneiro
Ismael Tavares
Nelson Boadi
Bruce Nti
Yaw Appiah
Kévim Boaten
Tiago Loureiro
Leonardo Koomson
Emanuel Barbosa
Duncan Ntiamoa
Lucas Boahen
Julian Nunes
Tomás Akyena
Sam Ofori
Joshua Teixeira
Vicente Campos
Paulo Batista
Francis Cunha
William Otuo
Josh Boateng
André Matias
Edward Baah
Adrian Nyaako
Richard Marques
Joaquim Omani
Mathew Moura
Lawrence Dwamena
Igor Oppong
Xavier Pires
Peter Vicente
Charles Correia
Carlos Badu
Rúben Pacheco
Joshua Nti
Guilherme Pacheco
Miguel Tavares
Joaquim Nyaako
Simon Nyantakyi
Vítor Kwarteng
Thomas Karikari
Gaspar Torres
Martim Kumi
Noa Matos
Denis Castro
Vincent Kumi
Roger Agyei
Henrique Asamoah
Luís Morais
Frederick Amoako
Kwesi Ramos
Kwamena Santos
Ben Ofori
Ângelo Ankra
Noah Melo
Charles Lopes
Marco Wiafe
Jorge Takyi
Kwamena Abreu
Alexander Adomako
Clifford Fonseca
Frederick Antwi
José Yaamoa
Max Carneiro
Renato Gonçalves
Tiago Castro
Salvador Agyapong
Artur Teixeira
Ivo Fofie
Manuel Tutu
Vasco Moura
Emanuel Quartey
Kwaku Boadi
Oliver Boadu
William Magalhães
Afonso Asare
Jeffrey Yawson
Francis Ntiamoa
Kwamena Asiama
Josh Takyi
Gaspar Guerreiro
Luca Akyerεko
Wilson Obeng
Afonso Assunção
Ekow Baah
Ricardo Esteves
Isaac Bona
Joel Campos
Ekow Loureiro
Kevin Anokye
Marcos Opoku
Joshua Costa
Henrique Pinto
Márcio Gaspar
Howard Paiva
Kwaku Fofie
Luke Pacheco
Joe Cardoso
Dinis Baptista
Ivo Andrade
Nigel Fonseca
Ismael Awuah
Eric Owusu
Andrew Twumasi
Matthew Asamoah
Joe Moreira
Steven Macedo
Jeffrey Andrade
Kweku Opuku
Sebastião Branco
Leandro Mendes
Josh Nti
Bernardo Daako
Kevin Jesus
Tomé Barbosa
João Pinho
Vítor Donkor
Shaun Mendes
Igor Opoku
Gustavo Prempeh
Sandro Branco
Filipe Afirifa
Victor Branco
Manuel Akyena
Thomas Pinheiro
David Cunha
Duarte Yirenkyi
Fernando Nkansa
Luke Matos
Martin Donkor
Luís Agyei
Josiah Amo
Andrew Nascimento
Diego Gyamfi
Edward Pinho
Jorge Karikari
Marcos Valente
Rafael Matos
Timothy Antwi
Yaw Nkrumah
Jacob Barros
Jake Matias
Nelson Anjos
Albert Kusi
Bruce Martins
Anthony Andrade
Márcio Lima
Isaac Ramos
Adam Appiah
Josh Azevedo
Lucas Nascimento
Raymond Baafi
Martim Vieira
Timothy Fonseca
Xavier Nascimento
William Vicente
Antony Rocha
Joojo Lima
William Melo
Yaw Lopes
Micael Otiwa
Shaun Monteiro
Henrique Donkor
Gabriel Andorful
José Teixeira
Leandro Freitas
Ângelo Alves
Justin Moura
Matias Araújo
Elliott Lopes
Xavier Kyei
Jonathan Boaten
Marcus Lourenço
Kwadwo Nunes
Tony Amo
Mathew Ferreira
Marcus Andorful
Josiah Costa
Mateus Matias
Eric Agyapong
Kwasi Nsia
Gaspar Antwi
Rodrigo Ramos
Andrew Ferreira
Fábio Okyere
Jason Magalhães
Diogo Correia
Josiah Esteves
Artur Domingues
Renato Moura
Mateus Santos
Gaspar Asiama
Lourenço Oppong
Enzo Boadi
Eduardo Badu
Marco Leite
Kujoe Akyerεko
Henrique Boadu
Fiifi Amoa
Nigel Boadu
Michael Ata
Mateus Ampadu
Douglas Akyena
Howard Adomah
Pedro Rocha
Lisandro Akyena
Carlos Morais
Ben Tavares
Filipe Carneiro
Sam Fofie
Samuel Abreu
Michael Nyame
Lisandro Otuo
Bernard Adu
Joaquim Baafi
Eric Guerreiro
João Baa
Rui Asante
Timothy Adusei
Ivan Sarpong
Ekow Oliveira
Ivo Agyare
Duncan Amaral
Malcolm Brito
Vasco Pacheco
João Anjos
Douglas Torres
Terence Yaamoa
Luca Dwamena
Matias Leal
Jeffrey Boakye
Diego Mota
Cláudio Baafi
Adam Carneiro
Nuno Asiedu
Kujoe Mota
Kwaku Valente
George Nyame
Kwabena Akoto
Antony Asiama
Lucas Yawson
Edgar Agyemang
Kwaku Takyi
José Akyeamfuɔ
Alexander Amoako
Akwasi Pinheiro
Tomé Morais
Justin Ofori
Joe Coelho
Steven Yeboa
Victor Costa
Mauro Vaz
Gustavo Barros
Kwaku Gyasi
Benjamin Boadu
Julian Gomes
Andrew Coelho
Marcus Abreu
William Afoakwa
Francisco Agyemang
Kofi Asenso
Thomas Boateng
Dominic Ntiamoa
Aaron Baa
Eric Melo
Clifford Adomako
Kévim Marques
Frank Pereira
Diogo Barros
Marco Gyamfi
Joojo Carneiro
Gil Asamoah
Sandro Donkor
Renato Gomes
Charles Pereira
Vasco Agyei
Josh Omani
Álvaro Akyena
Gaspar Nkrumah
Hugo Agyare
José Asamoa
Gordon Morais
Tomás Cardoso
Bryan Amo
Santiago Boaten
Renato Bonsra
Duarte Yeboa
Gordon Guerreiro
Edgar Pereira
Gordon Andorful
Brian Badu
Sebastião Dwamena
Joaquim Prempeh
Josiah Cruz
João Ampadu
Gerald Coelho
Josh Fofie
Kyle Bona
Stanley Castro
Noa Akyena
Joel Neto
Tomé Baa
Louis Vicente
Gordon Badu
Gonçalo Alves
Kwadwo Ampofo
Joseph Asiama
Cláudio Marques
Enzo Yawson
Diego Freitas
Josh Carvalho
Filipe Ramos
William Matos
Edgar Gomes
Kévim Yeboah
Graham Torres
Cristiano Martins
Kofi Amoa
Elliot Tweneboa
Jack Dwamena
Russell Yeboah
Gonçalo Araújo
Cláudio Reis
Márcio Dwamena
Ricardo Borges
Manuel Boakye
Louis Prempeh
David Jesus
Mathew Araújo
Josh Mota
André Assunção
Brian Rodrigues
Joaquim Sousa
Louis Amorim
Mathew Leite
Akwasi Bonsra
Nigel Anokye
Ricardo Acheampong
Kenneth Reis
Gabriel Ferreira
Jake Yeboah
Gordon Castro
Kwabena Esteves
Kwesi Fosu
Mark Duah
Gordon Boakye
Xavier Costa
Alex Leite
Ivo Ofori
Jorge Antunes
Colins Antwi
Alexander Boateng
Andrew Marques
Hugo Matos
Ben Antwi
Diogo Nunes
Akwesi Simões
Rafael Appia
Hugo Twumasi
Harry Soares
Ricardo Moura
Michael Jesus
Tomás Boadu
Isaac Domingues
Leonardo Obeng
Vítor Obeng
Isaac Barbosa
Kwadwo Gaspar
Wilson Pacheco
Denis Correia
Bruno Obeng
Ivan Azevedo
Yaw Sousa
Gabriel Donkor
Henrique Quartey
Kwasi Nunes
Bernardo Fonseca
Joe Ribeiro
Ivan Antunes
Francisco Nyaako
Henrique Gyasi
Roger Osei
Kevin Baa
Gustavo Kwarteng
Martim Branco
Timothy Amponsah
Victor Freitas
Filipe Tavares
Renato Neves
Xavier Azevedo
Jeremy Antwi
Josiah Antunes
Bruce Akyerεko
Dominic Correia
Eduardo Ramos
Guilherme Yeboah
Danny Pinheiro
David Yeboa
Álvaro Tavares
Elliot Nascimento
Dinis Amaral
Shaun Ankra
Alex Leite
Dominic Magalhães
Duncan Araújo
Carl Amoako
Mateus Baah
César Otiwa
Henrique Ofori
Ekow Amaral
Micael Ferreira
Hugo Oliveira
Thomas Santos
Ismael Ampofo
Guilherme Pereira
Albert Vaz
Kevin Guerreiro
Anthony Pinheiro
William Amoasi
Yaw Agyare
Emanuel Bonsu
Miguel Asante
Marcos Ntim
Antony Kumi
Howard Nkrumah
Kenneth Mota
Artur Baa
Henrique Nsia
Nicholas Boaten
Emanuel Macedo
Eduardo Ferreira
Sebastião Adusei
César Asenso
Edward Neto
Vicente Loureiro
Harry Andrade
Rúben Ferreira
Leslie Vicente
Rafael Leite
William Nyantakyi
Alexandre Akowua
Kwamena Nogueira
Leandro Abreu
Pedro Okyere
Vítor Antwi
David Marques
Cristiano Takyi
Benjamin Yeboah
Mário Santos
Simão Morais
Denis Henriques
Filipe Ramos
Kevin Appiah
Denis Borges
Xavier Teixeira
John Akowua
João Akowua
Bernardo Adutwum
Kujoe Lima
Henry Reis
Jake Cruz
Brian Garcia
Mateus Karikari
Michael Boaten
Márcio Nti
Rodrigo Agyare
Isaac Baawia
Enzo Boaten
Max Owusu
Andrew Omani
Vincent Batista
Ivo Vicente
William Amorim
Nuno Gaspar
Ivo Nkrumah
Tiago Neto
Richard Otiwa
Kyle Okyere
Albert Agyapong
Donald Boadi
Duarte Nkrumah
Enzo Silva
Manuel Anokye
Samuel Barros
Sebastião Henriques
Filipe Yeboa
Sandro Asenso
Samuel Gyamfi
Kojo Kwarteng
Kyle Soares
William Kwaakye
Ricardo Nyantakyi
Mateus Ntim
Kojo Carvalho
Elliot Antwi
Simão Asenso
Josh Ahortor
Rafael Tutu
Bernardo Amo
Julian Amorim
George Pinho
Fiifi Santos
