Abdul-asad 
Hazheer Zarqan
Saad Al-dajani
Hassan And
Tariq Kais
Jalal Abu
Khalilullah Sharif
Ahmed Al-qazaz
Mohammed Hazzaa
Marwan Al-qabani
Tahir Al-hakam
Hayan Jazini
Zahir Tareh
Binu Harith
Qanoua Zahlawi
Sahar Atieb
Sammy Tripoli
Alfred Almi
Sami Ben
Ahmed Al-afifi
Abdulaziz Al-dajani
Manaaf Amiyoni
Barq Umar
Mourad Bitar
Mujahed Bin
Abdul Quddus
Kazem Sommaire
Mari Bin
Shahab Rabab
Ahmad Shamra
Khaled Bughazie
Naser Shihabi
Maram Zabia
Saad Bakr
Muaqil Bin
Hazem Al-khalafawi
Ben Omarah
Salam Mzraani
English First
Mohammad Barq
Mahammad Shahran
Benoyas 
Mahdi Aklub
Azd Assadam
Jacob Afghani
Salman Abdulqayyum
Abdul Mohi
Khalid Ben
Munir Sulaim
Zahra Zuhair
Ahfaan Bin
Abdul Karim
Ahfaf Ibn
Saifuddin Bin
Zurqan Wealth
Hazem Tripoli
Abu Ayd
Hamedan Quran
Khalilah 
Ghani Ghatmi
English First
Baghdadi Ali
Majed Ghawanmeh
Ahmed Al-zamami
Kasim Shamr
Abdulaziz Al
Zubair Afghan
Ameenah Hadhail
Majdi Bin
Abu Al-hajjaj
Faris Yahya
Fadi Ben
Abdulbaid Abdulrahman
Fazil Jazini
Amirumon Bin
Shakib Al-muthaffer
Nouha And
Abdulrahman Futyani
Rajhan Agzwan
Hazem Qatina
Aamir Sasaa
Hussain Al-husseini
Jafar Al-azim
Lafi Sharif
Ahmed Ghanam
Sadam Khalghasi
Maurice Ashley
Ahmed Al-qawasem
Mutim Ghamid
Ahmed Al-shawish
Khalifa Al
Maraadie Binu
Ahmed Aljawwi
Jari Allah
Mukram Tahan
Jalaluddin Bin
Ahmed Jabsha
Karam Farahid
Ahmed Al-aref
Mohtasham Khandaf
Hassan Taziz
Mohshik Alqawasem
Shakir Najar
Mohammed Al-najjar
Ahmed Al-fattani
Mashhad Azra
Khandaf Al-rawi
Abdurrahman Yaafai
Fahd Awaidah


john Smith
Abdul Rauf
Jamaluddin Bin
Khalidi Return
Mohammed El-rabatabi
Abdulrazaq Samman
Shadi Jadis
Munzir Al-kulghasi
Kafur Bakar
Shahab Ashja
Khalid Al
Maammar Tahan
Ahmed Almamlouki
Samir Al-qai
Moataz Al-moataz
Sarah Hadmi
Hassan Jazini
 The
Sahar Alnamri
Mohammed Barakat
Omar 
Ahmed Al-kabir
Malik Sabah
Sasir Al-qubani
Adnan Qahtan
Ahmed Al-dajani
Mohammed Tahlib
Faris Rabat
Ahlal Ibn
Hamedan Thousand
Hussain Al-mashhadani
Salim Zahlawi
Tilal Mani
Abdul Haq
Adam Osborne
Hasan Bin
Hassan Al
Oulad Bouaziz
Munzar Hamir
Amar Al-aref
Abdullah Al
Jamaluddin Ghamid
Ahmed Al-nashashibi
Din Desi
Imam Mutawakkil
Din Bin
Open Shahran
Hassan Bin
Abdul Karim
Murtada Al-muluki
Alyan Khalaf
Ziyad Beshiti
William Bain
Mohammed Anz


john Smith
Arnauot 
Mumin Nameri
Ahmed Bouazizi
Abdul Hafiz
Hazim Deriya
Aziz Beshiti
Amirah Uthman
Zahra Azizat
Khalid Shibli
Fouzi Taziz
Mohiyyuddin Sahul
Zakaria Al-aljawwi
Munaf Atieba
Zubayah 
Abdul Baqi
Ahmad Tahan
Rabia Hafiz
Abdul Bari
Hussein Khatib
Ahmed Qawasmeh
Hussein Istanbul
Muʿtaz Zahīka
Hassan Bin
Ahmad Hadad
Abdul Bari
Abdulrazaq Saidani
Hossein Mohajer
Ahmed Bin
Shafaa Bin
Abdulqais 
Ahmed Bin
Ahmad Anmar
Imamuddin Al-aziz
John Tiger
Omar Al-halaqa
Ahmad Al-sham
Lewis Jzarr
Ahmed Al
Hazma Kanana
Khalid Aljadi
Abdulaziz Beitarr
Saud Bin
John Murphy
Mohammed Tripoli
John Carpenter
Jacob Hazael
Hemand Nahad
Samah Murad
Mahmoud Al-moussous
Abdul Khaliq
Abdul Hafiz
Mohammed Halwani
Azd Din
Zubair Ghanim
Abdul Muali
Khaled M
Mohammed Chafik
Abdulrahman Al-waeri
Saad Al-hakam
John Qureshi
Abdul Karim
Abdulqais 
Fahid Rahim
Abdul Ghafoor
Abdul Latif
Abdulwaf Al-jaouni
Saad Bin
Sadam Aziz
Mohammed El-maghribi
Husayb Al-hukam
Salam Zemamiri
Zaid Bin
Hajr Bin
Jamal Beshiti
Aljawfi Alakaf
Kareem Alayan
Mohammed Rashid
Sarndhik Fiyadh
Amirah Jameel
Abdulah Afghani
Moustafa Kamal
Noura Yas
Najib Alfayyadh
Safi Zamaniray
Sherjae Sommers
Maghdad Bani
Safiuddin Bin
English First
Kazem Bamiyah
Eastern Waari
Muhsin Al-hajar
Hazhir Arnaut
Muhammad Zraqan
Ayyub And
Fakhruddin Khandf
Marzieh Droush
Marwan Daudy
Kelim Zahika
Wael Benazza
Abdul Tawwab
Sarajuddin Thaqif
Abdul Hayy
Ahmed Alarifi
Beno Hashim
Kamran Khan
Ghamdan Ghaban
Samad Bin
Zaidan Rajih
Fayez Ghannam
Fifi Desi
Mardashd Hashd
Calaty Shaker
Majdi Jebili
Gautam Ghatfan
Rabea Rabee
Zarin Baghazi
Uthman Bin
Joseph Bakr
Nasseruddin Jalali
Abraham Ibn
Tahir Al-qai
Kamal Taghlob
Hamedan Hamrah
Adel Benadi
Hafez Bin
Abdul Rashid


john Smith
Jassim Alafifi
Hazmi Neshashi
Sultan Almani
Ahmed Harb
Jamal Tammim
Hammad Qais


john Smith
Shahb Salim
Hazem Al-hudami
Mohammed Bin
Khorj Al-taleb
Abdul-rahim Bin
Marahern Bolkarn
Mohammad Ali
Ahmed Nasser
Fars Amiram
Mohammad Mushashsha
Ahmed Al-shahabi
Masad Bin
Mirfab English
Fahd Al-hathail
Taha Mohfouz
أرجع اسم
Aqil Armani
Shadi Tarabin
Zaraqan Al-zarqan
Ahmed Abdah
Yasmina Mohafez
Aliyan Qasim
Ahmed Almuraziq
Thank You,
Ahmed Beitari
Benoasad 
Baghdadi Dentistry
Omar Al-imam
Hassan Khathami
Abdul-baasid Ebied
Tahir Bin
Shawn Qazah
Essar Aser
Abu Bakr
Saud Bin
Ben Kaleb
Kareem Bin
Hilal Al-hakam
Maecius Abu
Thank You
Shaheef Bakr
Khalid Bin
Salih Bakr
Abu Eid
Hasan And
Ahmed Sabri
Ramzi Bin
Muntasar Tamim
Habib Taziz
Faisal Fahm
Thank You
David Zamamiri
Abdul Hafeez
Sarah Anmar
Ahmed Alkathib
Ahmed Al-asmar
Khaled Al-afifi
Ahmed Al-qarjuli
Abdul-areef 
Sammy Qudmani
Faisal Hawash
Faris Al
Iyad Nasim
 
Abdul Hafiz
Hassan El
Unus Bhumdouni
Ahmad Al-badiriyah
Mohammed Nasri
Joseph Hawazin
Samir Baalbaki
Tom Smith
Farzad Bo
Ammar Bin
Sara Zabia
Abdulqais 
Hafez Awaidah
Ahmed Al-shawish
Abdul Saud
Ahmed Attia
Imam Musa
Shahdad Zalatimo
Abdulaziz Nasseeba
Mohammed Alafifi
Rashid Al
Munir Aylaan
Munif Zahika
Abdulaziz Asir
Nooruddin 
Fars Al-muzaffar
Abdul Ghanim
Ahmed Asali
Hamedan Seyed
Abdul Bani
Ammun Bin
Khalid Bin
English First
Abdul Razak
Tarek Tabbara
Hazem Jafar
Khatam Al-tawab
Naji Nijem
John Gift
John Maqel
Maimam Bin
Jamal Mzraani
Eastern Bin
Jafar 
Mubarak Murad
Abiyu Sheiban
Jacob Dawsar
Omar Bin
Ahmed Al-harbi
Mohammed Akawi
Abdulmuhyi Ahram
Abdul Latif
Kanata Majari
Samir Shmran
Jihad Namri
Amran And
Thursday Qasim
Omar Rajih
Khaled Mashasha
Mustafa Bin
Zaid Amir
Shaker Jadis
Haleem Yafi
Masoud Ben
Ahram Khan
Abdul Latif
Maecy Hawash
Shuqi Amr
Abbas Alafi
Abdulqais 
Zaid Jazar
Joseph Bin
Abdul Tawwab
Amr Ben
Hassan And
Ahmed Ajram
Abdulqais Shibli
Murdi Atieba
Fouad Bajila
Nasiruddin Sabeel
Ahmed Alhudami
Ahmad Adhrah
Furhan Al-hajar
Mirdafab Mirzazada
Mazen Tazeez
Imam Al-ghazali
Abdul Wahid
Ziyad Khandaf
Abu Ubaydah
Adel Khan
Fouzi M
Ahmed Shahran
Maecy Atiba
Salih Saadawi
Mohammed Shoifati
Kohanazakhran 
Muhsin And
Abdulrazaq Bin
Mazen Saifi
Adam Aziz
Najib Shaaban
Mahmoud Al-aarif
Munzir Badiriyah
Mukhtar Khenitani
Mohammed Oulad
Mateer Asim
Samad Al-namr
Abdulaziz Al-organi
Hamiyda And
Hamoud Rajih
Zafar Al-qalamouni
Indian Student:
Mamoud English
Abdul Malik
Abdulaziz Ebaid
Ahmed Shamer
Samir Shawayeh
Adel Tsam
Saboor Waseem
Muthayya Ajrama
Najib Shaker
Abdul Ghaffar
Samah Oulaid
Abdulhafiz Alayoubi
Aqeel Jadis
Ahmed Shihabi
Taqi Alqazaz
Abdul Khaliq
Marzouq Bin
Jamaluddin Zabia
Ahmed Al-murtaji
Abdulaziz Al-hawaytat
Abdulaziz Bin
Yousef Al
Jalal Tammim
Ajlan Binomer
Thiathim Thaqif
Munthir Ashja
Ketom Ashjae
Mansour Taqsh
Nassif Al-nakib
Hafan Jarallah
Ahmed Kamal
Abdul Rahman
Abdul Khaliq
Saddam Zahiqa
Mosaab Alafi
Khalim Bin
Jalaluddin 
Tamir Youssebabi
Fathar Almaraziq
Ramzi Khandaf
Khalid Al-zaki
Omar Kamal
Maghsoud Zahraan
Mazeeda Anza
Amman Bin
Himani Bhamdouni
Abdul-tawab Amr
Wael Ben
Hafez Al-jawadi
Omar Jadis
Abdul Qais
Abdul Alim
Abdul-saud Abu
Ahmed Bin
Mohammed Daudy
Olivier Ziane
Hamiyda 
Hani Bani
Jumana Rasas
Ziyad And
Ahmed Tootah
Harith Bin
Zaid Bin
Sultan Bin
Samih Al-jawawi
Mohammed Shahabi
Abdul Jalil
Essam Neshashi
Saeib Dawdi
Jafar Assem
Bano Kanz
Khandaf Asmat
Mursey Abdul
Sultan Al-haweitat
Qutayyuddin Sakhr
Good Morning
Jihad Qawasmi
Hazreen Wabah
Abdul Haq
Mohammed Tanukh
Jalal Khathim
Beno Maqel
Safiuddin Shuhuh
Hafiz Bin
Harith Kamal
Michael Quigley
Zarine Mehra
Ben Mahdi
Hafez Al-khalafawi
Omar Khazragi
Ahmad Khuzayrji
Doubalal Warning
Mohiyyuddin Sabeeh
Khalid Al-qutb
Marzia Naseeba
Nuruddin 
Mutayyam Sidayawy
Mohammad Al-qazzaz
Zahra Amine
Abdul Latif
Ahmad Zamami
Abdulmuhyi Tasm
Mohammed Qawasem
Abu Ayd
Shakeeb Akawi
Sidawy 
Mohammed Ghatafan
Nasseruddin Nooruddin
Hamiyr Asim
Ali Arif
Beno Sheba
Aamir Sasaa
Majed Al-beesar
Majdi Matni
Bakr Bin
Zamamiri 
Hilal Kholan
Fadi Bediriya
Hassam Mzaina
Nasiba Zorief
Abdulrazaq Hashid
Ahmed Suhail
Sidiki Diabaté
Fazier Alian
Hassan Murad
Fakhruddin Kholaan
Abdulmuhyi Matir
Abdulaziz Alhawash
Berqdar Mohayyed
John Gazini
Abdullah And
Abdul Latif
Jasem Almamluk
John Hamir
Abdullah Al-kanani
Ajman Alafifi
Ahmed Al
John Bahlika
Jacob Amela
Ghamid Gafaaf
Abdulaziz Sabeel
Mohiyyuddin Darwish
Shamanan Jamal
Munir Balghazali
Ahmad Bin
Sahar Rabab
Ahmad Al-tabbaa
Abdul Saud
Hani Desi
Leoni Beno-lieth
Abdul Hakeem
Shaib Al-turahi
Faran Balqarn
Jafar Zebia
Arnauot 
English First
Abdulrahman Shabani
Nader Mzayna
Abdulaziz Gheinna
Abbas Al-qurayshi
Salah Al-hajar
Mohammed Al-asmar
Oghsan Habraman
Saadi Al-aarif
Omar Bakr
Ahmed Aser
Abdulaziz Dajani
Maman Mutair
Ahmed Marad
Salman Fahim
Hilal Adel
Tongyi Zha
Shaman Return
Ahmed Alkathiri
Amr Omar
Mahira Shweikati
Ahmed Almontafa
Leith Ben
Ahmed Al-qarawi
Tasawar Arif
Mohammed El
Hafez Qalibou
Hazma Al-hedmi


english Only:
Ans: Din
First Name
Abdul-illah Somera
Mohammed El-rabaty
Bouazizi 
Hilal Bin
Khalid Al-khalifi
Abdullah Bin
Sam Ashraf
Nahid Al-mutairi
Maram Shwefi
Wael Sabbah
Jabir Al-zaidan
Jazam Jawasor
Abdul-ilah Al-awaazim
Ahmed Ajramah
Munaf Gusha
Saad Bin
Mahdi Bin
Ahmad Dariush
Abu Aide
Munaf Alkathiri
Adel Bin
Thomas Khalafawi
Ahmad Alawazem
Hisham Qureshi
Omar Trabien
Jafar Khan
Khalil Alkhazraji
Firhan Sumeria
Hanifah Ibn
Hazil Al-baqum
Laith Bano
Noura Bin
Hafed Bin
Ayoub Alshukri
Faruq Badri
Hafez Rabab
Abdul Sami
Alf Kebabish
Shiban Abdullah
Ahlal Bani
Ahmed Al-kathiri
Abdulqais 
David Hawalah
Beno Sakhr
Maghdad Awaida
Maximilian Mann
First Name:
Ahmad Najar
Tom Tiger
Haleem Ansa
Aneem Bahmuduni
Bilaluddin 
Din Halak
Jacob Bin
Jamal Benoua
Hussein Kanani
Abd Al-maraziq
Khalibo English
Mohammed El-toufari
Abdul Halim
Mohammed Asali
Thank You,
Fatima Rabeea
Mutayyim Bin
Hozhara Al-haweitat
Hassan Jaziri
Azmi Rashid
Abdul Latif
Abdul Halim
Abdulrahman Saidani
Fahid Alhusseib
Aman Maatouq
Beno Helal
Tim Nijam
Shafeeq Abu
Harith Bin
Mubarak Al-sabah
Hello Tara,
Saad Bakr
Firas Jafar
Kazem Salim
Samir Shamí
Abdul Salam
Abdulrahman 
Abu Aeed
Khaled Alafifi
Amina Smith
Majdi Baqum
Oman Sahul
Ahram Nassif
Saddam Bin


ahmed Salih
Mounib Tripoli
Abdul Jabbar
Mazaya Muter
Habiba Abdeli
Mazhar Ahram
Majdi Jouda
Abdul Hafeez
English First
Dany Jadis
Kanana 
Kamal Saarim
Moses Hindi
Ahmed Al-daili
Ahmad Armoni
Nouruddin Kanan
Aoi Bin
Ahmad Zamamiri
Ahmad Al-hajazi
Shafii Bin
Azra Ahmed
Ibn Khaldun
Kareem Bin
Mujahid Rajih
Jafar Abdul
Abdulrahman Badiriyah
John Carpenter
Ahmed Ajrama
Samir Marrad
Mohammed Bin
Sherhan Taziz
Ahmad Murad
Jacob Kitten
Abdul Alim
Mohammed Mazrakani
Zayan And
Maghdad Mashasha
Nasiruddin Bano
Ahmed Al-dosouqi
Aasim Azad
Maysur Bin
Mujahed Beiruti
Thursday Futian
Harith Bin
Khalil Marwat
Amraleel Bin
Nasiruddin Yousuf
Ahmed Alshaibani
Mohammed Al-dosouqi
Hazem Istanbul
Karim Abdunna
Mazin Saeed
English First
Rami Shweifi
Zahra Barq
Can Şimşek
Hazim Hazizi
Sam Adel
Moses Zafir
Harith Bin
Abdul Latif
Abdul Majeed
Ahmed Al-qabany
Soliman Badiriyah
Adam Dowser
Ahmad Dawdi
Shahab Al-ashraf
Kais Aylan
Muhamed Saad
Ahmad Afghan
Mumin Bakir
Hameed Al-dawsari
Karim Bakr
Gadargham Gammad
Rabia Jassur
Hesam Hosseini
Hakim Bin
Hamiir Qafaayiq
Munjid Nahd
Saud Al-zufair
Kamran Anz
Hussain Al-saqr
Ahmed Al
Sadqi Saidawy
Ahmed Tahan
Barq Al-tayyib
Hani Al-asali
David Cohen
Ahmed Omar
Martez Jazarr
Ahmed Jabsheh
Rabab Tawfik
Khulood Khurshid
Majed Jazam
Leith Jazini
Faris Bano
John Honey
English First
John Beiruti
John Coleman
Jamal Baderiya
Khalid Hajazi
Shumari Nouri
Tammim 
Mutaiq Al-hajar
Hazail Al-baqoum
Abdul Munim
Ahmad Al-maasour
Abdullah Abu
Mohammed Jaouni
Jacob Thornton
Ahmed Aldosoky
Naser Qarsh
Majid Darwish
Najm Al-noor
Salah Sharif
Adam Bilal
Azizuddin Bano
Mary Smith
Zuhair Qutb
Jamal Shumar
Tunukh Sharakir
Nasir Najar
Atiyya Ibn
Munir Al-imam
Arnautot Return
Hulal Bin
Adam Azel
Samir Zahika
Abu Ayd
Abdul Rauf
Faisal Bin
Ahmed Bouaziz
Tareef Tammim
Adwan Al-mutaei
Munir Zammamiri
 
Qumamah Ammar
Ahmed Sheiba
Mesrur Zafir
Abdul Hafeez
Nour Jadis
Khalifa Gwanamma
Maradi Ben
Hiram Abiff
Khaled Tripoli
Abdul Bari
Salim Bin
Maazzez Tazziz
Al-bukhari Al-din
Samir Gusha
Hashim Bin
Samir Droubi
Abdullah Hamidah
Hosamat Mahra
Hassan Naguib
 
Kholan Aman
Saifuddin Anmar
English First
Abdul Neshashi
Abdul Tawwab
Safyan Qalamuni
Ahmed Alqazaz
Munther Al-asali
Ahmed Alkathiri
 
English First
Abdul Fathi
Kandace Smith
Abdul Bari
Muataz Ganim
Goffan Afify
Abbas Khatib
Ahmed Al-kawakibi
Reza Bin
Ahmed Najar
Hazai Saidawi
Morocco Rabat
Tom Hamir
Abdulrazaq Ebied
Zubayr Bin
Mohamed El
Hanan Hilal


john Smith
Khadija Haqaa
Omar Al-halwani
Abdul Manan
Majed Al-jibsha
Mansour Atieba
Ahmad Khalan
Gashamat Gushta
Ahmed Aljawadi
Abdul Majid
Mansur Al-mamlouk
Marwan Asir
Kareem Anis
Ziyan Oluşah
Faisal Al-beesaar
Abdulrahman Sarwar
Ahmeduddin Bly
Abdulrahman Kawahela
Fadi Shamr
Abdul Karim
Abdul-saood Abu-al-saood
Qamana Shtiya
Shajjad Ashja
Eastern Ben
Safiuddin Mahira
Najm Al-rawi
Mohammed Gar
Abdul Bari
Ahmed Almani
Firhan Ghanim
Fazal Qaei
Haniya And
Hamad Al-bashiti
Samir Moussa
Samar Beno
Hajar Bin
Abdulmuhyi Alhulaiq
Abdulaziz Qureshi
Adeeb Bin
Haleem Abdul
Hafez Zabeed
Ziyad Bin
Tahir Bin
Nader Hamir
Mujahed Qadhaaa
Mohammed Hussain
Nooruddin Anz
Kafour Al
English First
Aseer Alaqeel
Hanan Aylaan
Ahmed Al-qaqoor
John And
Jariir Bin
Samah Ghanim
Riyyan Rabeea
Rashid Bani
Hanifa Benoum
Waghamah Habah
Fouad Beiruti
Khalid Bin
Khalida Namer
Mutayyim Abu
