Jacob Dumas
Edward Blin
Bertrand Otiwa
Vincent Nkansa
Kweku Nti
Gilles Boucher
Henri Appia
Vincent Guichard
Marcus Tweneboa
Hugues Gautier
Frank Bourgeois
Thomas Ofori
Danny Opoku
Roland Martineau
Roger Paris
Rémy Danso
Zacharie Launay
Victor Amo
Julien Ampofo
Shaun Gyamfi
Thibault Boahen
Stéphane Moulin
Richard Merle
Daniel Amo
Jack Valette
Josh Jacques
Yaw Otiwa
Dennis Omani
Théophile Muller
Kwadwo Bona
Xavier Awuah
Vincent Mace
Benoît Tanguy
Dominic Nkansah
Bernard Chevalier
Martin Hardy
Dominic Gilles
Ben Ofori
Christophe Masson
Théophile Maurice
Adrien Collin
Alex Baa
François Akyerεko
Maurice Amo
George Rossi
Mathew Blanchet
Clifford Berthelot
Duncan Sarpong
Carl Ofosu
Marcel Ribeiro
Stéphane Bernier
Tony Charrier
Josh Lecoq
William Yirenkyi
Victor Maillot
Marcel Vallée
Simon Bona
Henri Perrot
Yves Léger
Lucas Lombard
Adrien Gosselin
Russell Jacquet
Philippe Otiwa
Rémy Caron
Josiah Akowua
Gérard Maurice
Frédéric Osei
Luke Coste
Timothée Osei
Peter Gyasi
Charles Tawia
Kofi Fontaine
Roland Faure
Jack Afoakwa
Adrian Gyamfi
Marc Amoa
Ben Gyasi
Adam Blin
Robert Adomah
Timothy Prempeh
Joshua Tutu
Frédéric Baa
Richard Ntim
Kyle Hardy
Alex Yaamoa
Kwasi Vaillant
Sam Opoku
Honoré Osei
Gilles Boahen
Jules Tutu
Russell Besson
Richard Ansa
Stanley Devaux
Christophe Delahaye
Aimé Asiama
Nicolas Tutu
Shaun Yawson
Alain Afoakwa
Olivier Yaamoa
William Okyere
Alexandre Olivier
Joe Opoku
Phillip Akyena
Noël Nkansa
Xavier Rodrigues
Bernard Danso
Robert Potier
Richard Pineau
Steven Awuah
Aaron Bonneau
Laurent Collet
Victor Martel
Auguste Boaten
Peter Robin
Laurent Morel
Franck Anokye
Alfred Gros
Kwesi Monnier
Ben Oppong
Émile Ollivier
Adrien Opuku
Théodore Boyer
Noël Akowua
Alain Agyapong
Luc Roux
Bruce Carre
Terence Agyapong
Julien Ofori
Gabriel Boadu
Henri Traore
Gilbert Colas
Pierre Legrand
Aaron Bona
David Guyon
Pierre Yirenkyi
Joojo Bonneau
Danny Boulay
Joe Fosu
Gilbert Daako
Léon David
André Tessier
Luke Baah
Timothy Owusu
Matthew Louis
Thomas Breton
Thibault Clerc
John Bernier
Vincent Boateng
Xavier Amoako
Martin Dwamena
Xavier Kyei
Bernard Lamy
Bernard Mahe
Kyle Courtois
Gérard Omani
Lawrence Bouvet
Richard Clément
René Mensa
François Guillon
Bruce Baa
Patrick Blin
Xavier Robin
Samuel Owusu
Théodore Obeng
Raymond Laporte
Franck Adutwum
Thibaut Samson
Victor Potier
Henri Amoasi
Kwamena Bonsu
Eric Dupré
Adrien Gomes
Thibault Gérard
Samuel Vincent
Frederick Ledoux
Frederick Asante
Jérôme Mensah
Jack Ampofo
Jean Girard
Nicolas Munoz
Emmanuel Rodrigues
Steven Bonneau
Christophe Texier
Roland Legrand
Tristan Garnier
Gabriel Potier
Richard Boaten
Gordon Clément
Jacques Chevallier
Pierre Asamoah
Jonathan Asiedu
Alfred Perez
Josh Thierry
Matthieu Twumasi
André Raymond
Jérôme Ankra
René Amponsah
Louis Bonsra
Léon Jourdan
Denis Amo
Patrick Owusu
Thomas Jacquet
Jack Vallée
Justin Obeng
Marcel Baah
Gérard Agyei
Kwamena Twumasi
Kwaku Maurice
Michael Rolland
Guy Couturier
Théophile Martins
Roland Marion
Lucas Ntim
Honoré Donkor
Christophe Cousin
Julian Boaten
Justin Martel
Adrien Samson
Terence Takyi
Georges Nkansah
Daniel Alves
Alex Maury
Kwaku Labbé
Kwadwo Raynaud
Joshua Oppong
Édouard Afoakwa
Danny Guyot
Hugues Akyeamfuɔ
Patrick Quartey
Noël Baafi
Tony Darko
Nicholas Agyei
Thibaut Bourgeois
Frederick Daako
Kenneth Brun
Christian Simon
Arthur Yeboa
Thomas Besson
Yaw Bègue
Benjamin Didier
Thibaut Duah
