Fidel Perdomo
Juanito Checa
Mario Barrio
Mario Bahena
Agapito Guerrero
Quirino Gómez
Andrea Ureña
Curro Mora
Camilo Gimenez
Gilberto Mantilla
Alejandro Raya
Juan Vilaplana
Manuel Gómez
Perla Maldonado
Asunción González
René Melgar
Walter Montenegro
Andrés Acuña
Cristóbal López
Nacio Redondo
Santos Vélez
Franklin Baca
Jaime Tovar
Asunción Baca
Héctor Sanabria
Espiridión Vergara
María teresa Andrade
Marisol Londoño
Candelario Rentería
José Sevillano
Alexander Alcala
Ignacio Martínez
Alex Roda
Débora Castrillo
Alberto Rodríguez
Roque Jaramillo
Daniel Ayala
Darío Vargas
Luis miguel Reynoso
José Ibarra
Alma Bonet
Camilo Buitrago
Tulio Corrales
Juan Villa
Emilia Sánchez
Eliecer Manuel
Anselmo Rodríguez
Frida Porras
Bonifacio Maldonado
Omar Arias
Ciríaco Prado
Che Gómez
Norma Castro
Noelia Valentín
José Nieves
Pablo Dávila
Enrique Valenciano
María josé Zurita
Mario Angulo
Jairo Gracia
Alvaro Duque
Ángel Pulido
Benjamín Díaz
Abigail López
Lorena Vásquez
José luis Salamanca
Yamid Gómez
Nelly Mora
Fausto Báez
Mauricio Cuadrado
Mario Salazar
Federico Vargas
Jacobo Coello
Elisa Valcárcel
Lourdes Sáez
Pascual Arribas
Antonio Peñas
Alexis Duarte
Carolina Cortés
Jhon Ocampo
Elsa Feijoo
Lorenzo Contreras
Carlos Roura
Perla Casárez
Pedro Pérez
Jose Coronado
Eugenia Casal
Calixto Cervántez
Elena Hernández
Javier Heras
Elvia Cárdenas
Julián Buitrago
Gabino Naranjo
Mauro Alvarez
Carlos González
Luis ángel Garcés
Ferney Velasco
Fortunato Balderas
Roger Rodrígez
Jean Parra
Esteban Valadez
Lilia Márquez
Cruz Valero
Raúl Lebrón
Ezequiel Serna
Fortunato Barriga
Robinson Ibarra
Carlos Segovia
David Bello
Carlos Zedillo
Eleuterio Aroca
Liliana Casillas
Hugo Ortiz
Ferney Holguín
Amelia Morales
Olga Aparicio
Juan Abril
Nelson Gallardo
Juan Ocampo
Lalo Sancho
Alfredo Noriega
Casemiro Francisco
Juan francisco González
José Gómez
Jhon Rodríguez
Víctor Ceballos
Lucía Buendía
Joaquín Lluch
Esparta Agudelo
León Almeida
Gervasio Mendoza
Claudio Espino
Ruy Razo
Alexander Adán
Javier Rodríguez
José Londoño
Timoteo Borrell
Sonia Duque
Armando Lozano
Jordán García
Germán Arias
Rebeca Castro
Asunción Rodríguez
Paola Ayala
Barbara Donaire
Anselmo Viña
Eugenio Miguel
Francisco Cuellar
Francisco Ceballos
Andrés Pineda
Cristina Alcaraz
Dulce Becerra
Lázaro Narváez
Emilio Barrios
Jenaro Blanco
Amanda Torres
Luis Romero
Brandon Rojas
Diego Hernández
Benito Mantilla
Enrique Cardenas
Daniel Armengol
Rufino Sánchez
José Menchaca
Eduardo Pacheco
Estela Herrera
Samuel Zurita
Calisto Gómez
Antonio Ponce
Oswaldo Aragón
Andrés Garzón
Santiago Huerta
Hernando Barba
Carlos Marín
María eugenia Benítez
Jorge luis Vanegas
Pablo Velasco
Mercedes Valencia
Arturo Narváez
Antonio Piñol
Jesús Rangel
Abel Clavero
Ulises Tejada
Albeiro Gutiérrez
Andrés Elías
Mario Gracia
José luis Macías
Jorge luis Espinosa
Eva Gámez
Libardo Quintana
Serafín Pardo
Rufino Rangel
Ivonne Cantú
Daniel Crespo
Alexander Cruz
Andrés Jara
William Salas
Lucas Cardona
Ibán López
Sergio Puga
Isabel De la o
Rubén Castañeda
Orlando Castillo
Vicente Zaragoza
Rómulo Rojas
Eloy Vela
Jose antonio Vallejo
Fernando Belda
Hilario Parejo
César Rosselló
Luis manuel González
Hugo Hidalgo
Gabriel Ocampo
Rocío Rueda
Hugo Hernández
Artemio Ramírez
John Portero
Lucio Ruiz
Camilo Lozano
Francisco Alberdi
Francisca Carrera
Alberto Sevilla
David Quirós
David Tijerina
Daniela Portillo
Guillermo Roybal
Néstor Obando
Pío Bejarano
Juan Hidalgo
Jerónimo López
Elkin Lluch
José Martínez
Mariano Porras
Dimas Ponce
Enrique García
Jose ignacio Barrios
Antonio Moreno
Ricardo González
Jonatan Moll
Chucho Paz
Francisco Aguilar
Victor manuel Murillo
Celso Gargallo
Rigoberto Anaya
Baudelio Nieto
Luis Ornelas
José Díaz
José emilio Quiñónez
Evelio Benito
Demetrio Guzmán
Blanca Gutiérrez
Verónica Olivera
Anastasio Cabrera
Teresa Amaya
Rodrigo Luján
Norberto González
Andrés Ramírez
Fernando Muñoz
Venceslás Ballesteros
Andrés Magaña
Bernabé Méndez
Enrique Cabán
Samuel Cisneros
Horacio Sánchez
Celia Cruz
Andrés Naranjo
Jorge Llanos
Gustavo Carreón
Karina Valencia
Jacobo Vargas
Federico Albero
David Sánchez
Zoé Carrera
Jose ramón Aguilera
Arturo Albero
William Oviedo
José Mares
Henry Moreno
Teodoro Rosero
David Haro
Valero Palacios
Johnny Cárdenas
Seve Espejo
Reynaldo Gutiérrez
Sofía Estévez
Karina Dueñas
Amador Mireles
Asdrubal Caro
Germán Peralta
Orlando Medina
Juan francisco Lillo
Gerardo Montenegro
Manuel Ortiz
Cornelio Reyes
Alfredo Vargas
Edu Benavides
Ilse Vilalta
Hernando Corral
Arcelia Chapa
Omar Ayala
Gonzalo Rodríguez
Josefina Meléndez
Catalina Yepes
Marcelino Rosero
Alberto Nevado
Jerónimo Véliz
Manuel Arguello
Guillermina Valentín
Bartolomé Terán
Eric Arjona
Apolinar Amaya
Luis Carrasco
Carlos Valdés
Juan Medrano
Ivonne Saucedo
Abel Sosa
Tomás Sevilla
Chucho Madrid
Jairo Soto
Emiro Pantoja
Sebastian Cañete
Aristides Parra
Reinaldo Muñoz
Miguel Ramírez
Elias Saavedra
Jorge Parra
José Rojas
Vicente Cal
Emiliano Zamudio
Sonia Pulido
Luis Clavero
Leocadio Chapa
Cynthia Flórez
Arturo Ramírez
Nicolás Rojas
Fredy Zambrano
Raquel Osorio
Germán Zuluaga
Daniel Sastre
Alex Coello
Elena Vilar
Silvia Ontiveros
Jonatan Villa
Ricardo Flórez
Ángel Gómez
Jairo Serrano
Héctor Camacho
Salvador Sierra
Citlali Sanabria
Arturo Hidalgo
Pedro Lira
Roldán Viña
Francisco Mayo
Sergio Barbosa
Claudia Rivero
Benjamín Valencia
Elías Tijerina
Gerónimo Peláez
Enrique Castañeda
Alex Puga
Carlos Valbuena
Abril Sanjuan
Humberto Montalvo
Melchor Cruz
Mariano Perdomo
Ángel Cuesta
Gerónimo Lozano
María josé Villarreal
Silvia Castañeda
Bruno Vanegas
Julio Iglesias
Leonardo Esteve
Concepción Puga
Edward Gómez
Herberto Bétancourt
Roque González
Daniela Quiroz
Victoriano Navarrete
Cristina Limón
Norma González
James Peña
Yair Egea
Concepción Ortega
Mauricio Hernández
Alonso Alarcón
Luis Villanueva
Carolina Medina
Porfirio Camargo
Trinidad Ferrández
Moisés Ortega
Modesto Estrada
José mari Guardiola
Moisés Oller
Jordi Galván
Guillermina Acevedo
Armando Alarcón
Gabino Ferrán
Mónica Rincón
Jos Fajardo
Haroldo Camarillo
Fredy Vera
Ernesto Lozano
Custodio Blanco
Luis Cadenas
Arturo Mosquera
Saturnino Quiroz
Cándido Mesa
Andrés Menéndez
Flavio Mora
Héctor Araujo
Abel Querol
Diego Roque
Rafael Rodríguez
María elena Nazario
Leonardo Delgado
Francisco Valbuena
Antonio Mata
Mateo Ortiz
Ofelia Aranda
David Vargas
David Páez
Pablo Carrero
Florentino Hernádez
José Manrique
Ramón Almonte
Humberto Carrero
Linda Cabo
Roldán Gómez
Jesús Palacio
Virgilio Almonte
Gervasio Báez
Sebastián Camps
Esperanza Huertas
Ceferino Martínez
Francisco javier Alvarado
Jeferson Sedano
Rebeca Páez
Esmeralda Jaramillo
Alberto Dávila
Valerio Díaz
Ovidio Galván
Gaspar Haro
Manuel Álvarez
Francisca Piñol
Jesús Castellanos
Rebeca Dávila
Alberto Escobedo
Pelayo Cazares
David Nuñez
Silvestre Rincón
Yair Navarro
Aida Chávez
Armando Benavent
David Brito
Nayeli Peña
Luis Aguirre
Pamela Vera
María Farré
Rocío Morales
Casemiro Griego
Elena Mate
Rafael Acevedo
Yesid Perales
Guadalupe González
Javier Ugarte
Walter Leiva
Olivia Maldonado
Marciano Verdugo
Alvaro Menéndez
Celia Madrid
Esther Talavera
Rodolfo Osorio
Joan Roldán
Renato Barbero
Espartaco Terrazas
Pascual Sánchez
Franklin Álamo
Jorge Ortiz
Augusto Colomer
Óscar Pina
Cristian Ramírez
Luis Moya
Rodolfo Meneses
Gilberto Rosa
Gabriel Moreno
Guiomar Portillo
Angélica Vela
Eduardo Preciado
Edgar Moreno
Juan carlos Moles
Quique López
Diana Téllez
Héctor Vaca
Marlon Barco
Miguel ángel Ródenas
Angelino Aponte
Lucía Hoz
Camilo Ariza
Joaquín Enríquez
Chema Rivero
Esteban Carvajal
Jose angel Vilalta
Marcial Valencia
Federico Andrade
Noemí Manzanares
Máximo Ortega
Rafaél Ordóñez
Víctor Lozano
Arcelia Chavarría
Miriam Oquendo
Julio césar Vásquez
Teófilo Torres
Linda Jaramillo
Ricardo Talavera
Francisco Reyes
Christian Carreras
José ángel Mata
Pamela Prieto
Jorge Rascón
Hernán Morales
Ale Daza
Benjamín Villareal
Buenaventura Magaña
Federico Palacios
Lope Marti
Eva Velásquez
Iván Garriga
Gerardo Valcárcel
Ramiro Gonzalez
Iker Heredia
Benito De la garza
Marisol Fernández
Neider Alsina
Ariel Mejía
Jeremías Alva
Marisol Velázquez
Gaspar Saavedra
Anabel Villa
Zoé Ferrándiz
Ramón Cuellar
Nando Roca
Erick Bartolomé
Isabela Garzón
Seve Rosado
Goyo Henao
Jairo Ojeda
César Castro
Jorge Poza
Margarita Montesinos
Marcial Riba
Geraldo Tamayo
Pánfilo Ramos
Jaime Ybarra
Dimas Morales
David Llopis
Eduardo Jáuregui
María teresa Boada
Andrés Londoño
Fulgencio Pérez
Juan Rincón
Raúl Arango
Custodio León
José Alcaraz
Carlos Elorza
Jesús Reina
Jaime Mireles
Alicia Jimenez
Andrea Bejarano
Julio césar Paniagua
Jhon Torres
Sara Duque
Jose manuel Giraldo
Alejandro Razo
Nelson Ángel
Minerva Escobar
Jesús Fonseca
Dario Agullo
Mauricio Reguera
Mauricio Sans
Ángel Maldonado
Juan Paz
Ángel Ortiz
Gerónimo Ramírez
Santos Rivas
Alejandra Bustos
Leonel Partida
Eduardo Chávez
Víctor Aznar
Nacio Arévalo
María luisa Griego
Leocadio Páez
Jose luis Alvarez
Guiomar Limón
Carlos Rivera
Arley Razo
Armando Jaramillo
Camilo Heras
Teobaldo Chapa
César Polo
Tania Benavides
Paulina Catalán
Emilio Amat
Fredy Domínguez
Jesús Bermúdez
Alberto Alcala
Evelio Caparrós
Sigfrido Castro
Adalberto Torres
Juan Zelaya
Urbano Real
Mauricio Chávez
Amelia Arango
Tiburcio Herrera
Adela Montoya
Remigio Valdés
Ciro Preciado
María Ramírez
Nicodemo Pelayo
Miguel Roldan
Tomás Rodríguez
Leonardo Esquivel
Alberto Caro
César Casárez
Aldemar Rivera
Hugo Ferrando
Arturo Velandia
Esteban Gonzáles
Custodio Oquendo
Fernando Vicente
Ruy Melgar
Domingo Ayala
Luís Tejada
Fidel Muñoz
José Lucio
Alfonso Véliz
Daniela Gallardo
Lalo Correa
Francisca Matos
Esteban Juan
Hilda Rangel
Dulce González
Cristian Cedillo
Américo Gámez
Óscar Cornejo
Sergio Zambrano
Nazario Sandoval
William Torres
Andrés Guerra
Guillermo Peiró
Eugenio Sarabia
Jesús González
Tania Melero
Santos Rentería
María teresa Reyes
Diego Escamilla
Jefferson Fernández
Ildefonso Cueto
Porfirio Quintero
Jordi Álvarez
Yeni Altamirano
Camilo Naranjo
Celso Armengol
Prudencio Pinto
Arcelia Solís
Joaquín Arribas
Vinicio Nava
Rosendo Márquez
Carlos Murillo
Raúl García
Nadia Velázquez
Susana Coloma
Dulce maría Salas
Abel Cortés
Anselmo Zapata
Santiago Salamanca
Eugenio Cardona
César Zapata
Alexander Bernal
Teo Moles
Jordi Soria
José manuél Adadia
Bautista Arango
Mateo Acedo
Margarita Orosco
Sabas Fuentes
Francisco López
Juana Leal
Wilfrido Salvà
John Ruiz
Miguel ángel Medrano
Valentín Sánchez
Eliseo Urrutia
Quirino Rocha
Jesús Lucero
Jhon Beltran
Octavio Griego
Claudio Aragón
Artemio Madrigal
Raúl Bedoya
Roger Rodríguez
Nazario Zapata
Evaristo Escalona
Bernardo Zapata
Antonio Valencia
Jaime Osorio
Heriberto Mena
Yeni Guerrero
Andrés Español
Orlando Rivera
David Amaya
Anel Jiménez
Agapito Lara
Adriana Carrillo
Bernabé Gaytán
María josé Perdomo
Jhon Larrea
Juan González
Adriana Cardona
Amaro Gil
Fabián Casanova
Luis Bermúdez
Germán Cabán
Alfredo Olivas
Humberto Pedraza
Emilia Aparicio
Miriam Bautista
Reynaldo Escalona
Carlos González
Eugenio Ariza
Carlota Gallart
Jacinto Rosero
Eric Benavides
Patricio Silva
Fernando Flores
Juan Nieto
Eutropio Peral
Luciano Erazo
Pelayo Gálvez
Bruno Zambrano
Francisco javier Torres
Luis Fuentes
Óscar González
Hilario Alonso
Blas Martínez
Rufino Castro
Teodosio Quevedo
Dionisio Pineda
Tania Bohórquez
Fernando Bernal
Alberto Castillo
Samuel Cantillo
Elvia Preciado
Brayan Méndez
Yago Nevárez
Atilio Osorio
Saturnino Briones
Ángel Calvillo
Isabela Villanueva
Javier Murillo
Darío Rivas
Esteban Mendoza
Javier Peralta
Ruy López
Camilo Rey
Moreno Águila
Fredy Lozano
Santiago Rodríguez
Gonzalo Rojas
Jose antonio Fuertes
Heriberto Peres
Eladio Medina
Andrés Castro
Ángel Valencia
Santiago Segovia
Mariana Acosta
Bonifacio Alfaro
Henry Santos
Toni Solano
Federico Estevez
Roldán Treviño
Francisca Zambrano
Nel Abad
Nadia Sevilla
Haroldo Burgos
Guadalupe Aragón
Inés Fortuny
Pepito Lara
Danilo Rios
Luis miguel Manzanares
Gaspar Cuellar
Hernando Mendoza
Chus Bravo
Alejandro Caraballo
Guillermo Baquero
Trinidad Pi
Luis miguel Rubio
César Quesada
Javi Uribe
Felipe Narváez
Espartaco Jiménez
Manuel Rosado
Luis Guzmán
Mariana Restrepo
Curro Cerro
Cleto Bejarano
Rodrigo Solano
Marcos Díaz
Américo Tapia
Edmundo Mendoza
Ángel Muro
Álvaro Yáñez
Edilberto Arriaga
Geovanny Buitrago
Marco Álvarez
Wilson Otero
Edward Rivera
Olga Mata
Fernando Henao
Ezequiel Pulido
Macario Contreras
Gustavo Polanco
Enrique Rodríguez
Hernando Nazario
Eugenio Galeano
Alejandro Carranza
Miguel Angulo
Delia Montero
Jaime Doménech
Susana Serna
Pánfilo Rodríguez
Manuel Zabala
Fabio Marqués
Henry Sánchez
David Caballero
Chus Casanovas
Alejandro Alcaraz
Juan francisco Valdivia
Victor manuel Aguilera
Ana luisa Rico
Ferney Domingo
Luis Pou
Gastón Hierro
Jose angel González
Horacio Pabón
Marino Gómez
Aureliano Carmona
Wilmer Corredor
María elena Iniesta
Aurelio Vidal
Oswaldo Ávalos
Trinidad Navarro
Basilio Figueroa
Prudencio Ríos
Graciela Leal
Remigio Molins
Judith Ramírez
Bianca Piquer
Benjamín Armas
Luis ángel Torres
José Casárez
Iván Sevillano
Federico Uribe
Jairo Batlle
Cornelio Zambrano
José Gómez
Severino Báez
Rodrigo Mayorga
Baldomero Cepeda
Rubén Carrera
José Vidal
Anderson Negrete
Jesús Ruiz
Celso Camarillo
José carlos Carmona
Abelardo Ordóñez
Juan carlos Ruiz
José luis Angulo
Alexander Cantón
María luisa Romero
Rosendo Mascareñas
Alberto Pedraza
Luis Fonseca
Hernán Exposito
María cristina Prieto
Alex Cabán
Dario Reyes
Fito Montserrat
Pablo Roybal
Eduardo Adán
Carlos Sepúlveda
Lino Chamorro
Mariana Patiño
Cayetano Maldonado
Milton Trejo
Francisco Palacio
Fabián Mena
Juan josé Ospina
Edgar Casárez
Clímaco Andrade
Teodosio Ávila
José Salazar
Sebastian Tamayo
Antonia Salcido
Vito Forero
Basilio Collazo
Julio Rivero
Andrés Dueñas
Hernán Robledo
Teófilo Cabanillas
José manuél Moreno
Ricardo Hurtado
Silvestre Montero
Gustavo Martí
Wálter Yáñez
Luz Sacristán
Jose carlos Bas
Pilar Loaiza
Javier Triana
Herney Correa
Marisol Valero
Arsenio Mota
Isabel Jaramillo
Manuel Yepes
Jordán Porras
Iker Gaitán
Nicolás García
Marino Morales
José Huerta
Jose antonio Ángel
Juan Ibáñez
Andrés Silva
Gregorio Moles
Antonio Ballesteros
Renato Molina
Graciela Dávila
Karla Santacruz
Jorge Cárdenas
Sara Carpio
Alta  gracia Pavón
Paola Ramírez
Patricio Bonilla
Miguel Vázquez
Lucas Díaz
Teresa Franco
Óliver Guzmán
Iván Holguín
Carlos Ibarra
Luis Meléndez
Dolores Delgado
Wendolin Lozano
Johan Giner
Ciriaco Rodarte
Luis ángel López
Alexis Nieto
Carolina Pou
Balduino Fernández
Juan carlos Plaza
Andrés Agudelo
Leandro Bueno
Wendolin Tejero
Alma Vela
María josé Romero
Camilo Torrens
Alonso Huerta
Jose angel Vanegas
Fabio Sánchez
Alfonso Jaimes
María Durán
Ernesto Martínez
Emilia Ibáñez
Fernando Casas
Buenaventura Restrepo
Susana Alvarado
Modesto Vega
Sandra Guitart
Baltasar Tello
Eugenio Lira
María josé Torres
Alexander Armenta
Asunción Ortiz
Francisco Negrón
Maximiano Duarte
Karina Hernandez
Carlos Burbano
Tomás Mendoza
César Sarmiento
Noemí Alarcón
Rafaél Santana
Camilo Aponte
Carlos Figueroa
Atilio Rosas
Joan Cruz
Carlos Castillo
Lucas Malo
Gabriel Romero
Benito Olivárez
Alexander Molina
Fernando Llamas
Rolando Rodríguez
Sara Salgado
Gabino Ávila
Luis Cortés
Jhon Cabanillas
Andrés Alegria
Julio Bauzà
Marcos Arias
Paola Mena
Jaime Montesinos
Enrique Viera
Vicente Reyes
Gabriel Ávalos
Juan carlos Pérez
Guadalupe Ceja
Rosa Concepción
Manuel Medrano
Cristóbal Padilla
Rocío Reyes
Íñigo Rodríguez
Hilda Zamora
Brayan Gomez
Osvaldo Rovira
María Barragán
Misael Fiol
Juan Iniesta
Cirino Aznar
Manuel Henao
Wálter Pérez
Oswaldo Lozano
Alfonso Martínez
Nicolás Pérez
Augusto Gómez
David Márquez
Joaquín Tafoya
Heriberto Arévalo
Juanito Valladares
Beatriz Rangel
José Arnau
Aida Muñoz
Abel Padrón
Fredy Garrido
Mayte Ramírez
Marino Fonseca
Che Beltran
Alvaro Ortega
Buenaventura Acosta
John Ayala
Cristian Alcántara
Fulgencio Vergara
Antonio Trujillo
Iván Giraldo
Kevin Nieto
Noemí Torres
Porfirio Ortega
Óscar Vásquez
Francisco Salom
Kike Rascón
Teresa Valles
Haroldo Barrena
Carla Amat
Maximiano Rivero
Esteban Córdova
Zacarías Berrocal
Gregorio Meza
Estela Vargas
Plinio Lucio
Marc Ayala
Clara Sanchez
Cornelio Alcaraz
Alma Aguilar
Adriana Molina
Germán Zamudio
Roldán Delgado
José Mota
Luz Segura
Eric Rojas
Socorro Sierra
Alex Barragán
Jonás Puig
Minerva Jáquez
Ofelia Vásquez
Esther González
Adán Jiménez
Miguel Lillo
Harold Díaz
Pablo Figueroa
Carlos Alfaro
Alonso Sierra
Luisa Castro
Eduardo Orjuela
Guillermina Burgos
Isaac Valenzuela
Mateo Téllez
José carlos Calderón
Alonso Cuesta
Pilar Cardona
Juan Borrell
Fernando Zelaya
David Arjona
Dagoberto Feliu
Nico Benavides
Eduardo Reyna
César Molano
Eduardo Terrazas
Fabián Díaz
Dulce maría Paz
José Ramírez
Carlos Andreu
Minerva Bonet
Alonso Bravo
Héctor Planas
Nicolás Ochoa
Maicol Esquibel
Mario Solano
Diego Montes
Sergio Peñalver
Orlando Delgado
Benigno Rael
Marino Rodríguez
Rafael Salinas
Omar Berenguer
Victoriano Robledo
Oswaldo Espinosa
Jairo Hernández
Sessa Perales
Dalia Gaytán
Irene Delgado
Hilda Somoza
Teodoro Gil
Wilson Osorio
Elena Iriarte
Hernán Pedro
Omar Álvarez
David Castellanos
José antonio Pantoja
Sofía Yuste
Juan Reyna
Luis Palma
Jhon Galvis
Cecilio Rodríguez
Sebastian Olivo
María teresa Morata
Rafael Ortiz
Blanca Piñol
Fulgencio Mena
Noé Vigil
Perla Santos
Carlos Jiménez
Arsenio Puga
Lorena Valentín
Jorge Arenas
María teresa Carrión
Faustino Gonzáles
Vito Raya
Fernando Fuentes
Guillermina Hoz
Onofre Aragonés
Aurelio Salas
Cayetano Barrios
Erick Sierra
Julio césar Candelaria
Amelia Lucero
William Pichardo
Diego Puga
Juan Morales
Miguel Mojica
Alejandro Barbero
Artemio Cepeda
Luis Simó
Carolina Bernal
Jorge luis Nebot
Tulio Hernández
Juan Verdugo
Irma Moya
Jose luis Tórrez
José manuél Delgado
Hilda Sisneros
Goyo Borrás
Venceslás Henao
Gerónimo Amaya
Micaela Hernández
Federico Carbó
Matías González
Sergio Cervantes
Gabriel López
Andrés Jiménez
Rosario Torres
Trinidad Jiménez
Andrés Bravo
Ramiro Montero
Dolores Camarillo
Juan Ulibarri
Régulo De la rosa
Ilse Ortega
Dulce Mata
Ilse Del valle
Magdalena Robles
Silvio Acevedo
León Acosta
Fernando Niño
Lino Guerrero
Bruno Valdés
Camila Guzmán
Maximino Del valle
Horacio Cadenas
Victoria Esparza
Luisa Lobato
Santos Serrano
Aurora Almaraz
Carlos Cadena
Hermenegildo Villamizar
Donato Calderón
Luis Piñeiro
Reynaldo Del río
Sebastián Correa
Jefferson Domínguez
Genaro Valdez
Jaime García
Emilia Quintero
Erasmo Vela
Lorena González
Elena Cruz
Luis Rincón
Hernando Fernández
Luis Prat
Fernando Méndez
Hernán Mendez
Lorenzo Méndez
Aurora Fuster
Edwin Nájera
Mario Ballesteros
María luisa Trujillo
Rebeca Medina
Cleto Peralta
Esmeralda Moya
Marc Restrepo
Gabriela Rodríguez
Amelia Parada
Evaristo Salinas
Dalia Rojas
Sergio Gómez
Gervasio Acosta
Jerónimo Taboada
Hugo Acosta
Lorenzo Burgos
Francisco jose López
Yuridia Hierro
Sessa Segarra
Horacio De la crúz
Marcos Belda
Aldo Carmona
Álvaro Montez
Luis Luna
Ariel Gibert
Alonso Cuevas
David Barriga
Esneider Soliz
Diego Martí
Fernando Díaz
Berta Herrera
Cristian Pacheco
Wilmer Luna
Jhon Guerrero
Lázaro Pizarro
Guadalupe Hernández
Enrique Venegas
Norma Cueto
Porfirio Alemán
Mario Arellano
Alfredo Bermúdez
Juan carlos Hernández
Leonel Escobar
Eliecer Reina
Camilo Saavedra
Victor Rodríguez
Luz Olvera
Gabriel Briseño
Mario Lemus
Guillermo Villareal
Elias Cepeda
Miguel Suárez
Galo Cámara
Augusto Acevedo
James Morell
Ceferino Castellanos
Ángel Montaña
Héctor Urbina
Dulce Rosselló
Rico Tejero
Pablo Echeverría
Cristian Castillo
Esneider Fiol
Alma Dávila
Juan Quintero
Eduardo Rodríguez
Adriana Chaparro
Rodrigo Benavides
Marco antonio Ulloa
Omar Aguilar
Serafín Hernández
Vasco Rojas
Abigail Bolívar
Geraldo Prada
Germán González
León Bedoya
Rosalia Navarro
Camilo Acosta
Noemí Madera
Luis Lozano
Emiliano Vargas
Nicolás Mendoza
Karina Toro
Magdalena Uría
Santiago Bejarano
Alonso Almonte
Luis Neira
Ignacio Alonso
Ronal Galiano
Ismael Pacheco
Galo Pineda
Alexander Galván
Abigail Egea
Amelia Salgado
Andrés González
Luis Muñoz
Emilio Martínez
Sigfrido Cabrera
Manuel Montalbán
Pastor Morales
Benjamín Carvajal
Aurora Carrión
Carlos Cases
Indira Estévez
José Estrada
Mario Suárez
Freddy Peña
Eladio Ruelas
Jefferson Vega
Raúl Martinez
Hernán Isern
Judith Zedillo
Adrián Vera
Humberto Ríos
Harold Hernández
Renato Barrios
César Serrano
Franklin Marín
Adrián Prieto
Cornelio Girón
José maría Guitart
Débora Sánchez
Dario Acevedo
Silvio Gurule
Eutimio Vilaplana
Carlos Solorzano
Leticia Barrera
Fernando Neira
Hugo Agustí
Jhon Guerrero
Leoncio Tamayo
Manu Palomino
Fabio Gómez
David Ardila
Enrique Álvarez
Fernando Acuña
Esteban Angulo
Che Gil
Luis Benito
Camilo Páez
Domingo Soto
Manuel Caicedo
Angélica Quiroga
Leonardo Ocampo
Cayetano Chapa
David Rodríguez
Baudelio Barbosa
Jefferson Cuesta
Wilmer Mendoza
Robert Pantoja
Ana maría Vásquez
Eduar Cortina
Jhon Becerra
Isaac Torres
Estela Lomeli
Mauricio Murillo
