William Osorio
Santiago Estévez
Luis Ortega
Augusto Muñoz
José Barrena
Alexis Valencia
Marcos Melero
Tito Vargas
Omar Cepeda
María eugenia Barral
Luis Cal
Abelardo Rodríquez
Darío Valdés
Rubén Reyes
Camilo Martínez
Carlos Galiano
Jacinto Rodríguez
Guillermo Becerra
Chucho Fierro
Carla Cabrera
Maximiliano Tur
Dulce De la crúz
Conchita Yáñez
Carlos Mejía
Gustavo Agudelo
Gloria Echevarría
Olegario Sosa
Marco Pineda
Emiliano Arrieta
Ángel Roldán
Guillermo Anaya
Arturo Herrera
Mario Herrera
Jerónimo Águila
Camilo Company
Jeremías Andreu
David Meza
Ricardo Echeverría
Graciano Montaño
Teodoro Díaz
Felipe Sabater
Roberto Tormo
Hilda Farías
Yesid Calderón
Concepción Lloret
Luis Zambrano
Nilo Ruiz
Álvaro Velázquez
Cristóbal Palmer
Gilberto Regalado
Jesús Rolón
Chuy Ortega
Fernando Sanches
Francisco jose Rojas
Alma Santiago
Hernán Quintero
Fabián Manrique
Germán Gómez
Luis Silva
Victor manuel Olivares
Ramiro López
Francisco javier Chapa
Santiago Miranda
Antonio Pérez
Ismael Villegas
Cristobal Méndez
Víctor Benítez
Eloy Lorenzo
Marisol Pérez
Leticia López
Luis Martínez
Salomón Navarro
Santiago Menendez
Yesid Álvarez
Amor Cornejo
Patricio Alonzo
Carlos Rojas
Pablo Vallejo
Ariadna Gamboa
Benjamín García
Emiliano Mosquera
Alma Arias
Débora Ojeda
Jose angel Beltrán
Marcos Duarte
Gil Feliciano
Luis Jaramillo
Duilio Cortés
Ana Izquierdo
Luis Luna
Gabriel Tórrez
Nicolás Silva
Abelardo Cepeda
Wálter Martínez
Carlos Páez
Caridad Quiñones
Nicodemo Zúñiga
Jhon Franco
Gustavo Verduzco
Ilse Marín
Trinidad De la o
Sergio Guerrero
Nicolás Fabregat
Joel Gamboa
Roberto Figueroa
Citlali Jiménez
Mario Lasa
Ramón Flórez
Nazaret Arevalo
Hernando Rojas
Mario Carrasco
Dulce Orosco
Marco antonio Saldaña
Julio Olivo
Rosalia Puentes
James Vargas
Luis manuel Naranjo
Sebastian Puga
Telmo Ramírez
Cruz Cardona
Sofía Quintero
Ambrosio Ríos
Pelayo Delgado
Ángel Bermúdez
Pablo Hernádez
Frida Vargas
Nazaret Hierro
Felix Manrique
Luciano Barajas
Bladimir Villanueva
Mateo Quesada
Leocadio Calvo
Dimas Uribe
Carlos Benítez
Mauricio Parra
Edelmiro Ruiz
Rosario Rosselló
Germán Lira
Miguel ángel Salinas
Adrián Galindo
Ana maría Durán
Andrés Carbajal
Elisa Izaguirre
Jesús Domingo
Irma Ramis
Wilmer Blanes
Adán Arias
Aurelio Toro
Omar Arias
Soledad Godoy
Marco Acosta
Eric Maldonado
Manuel Hurtado
Nico Gelabert
Hernán Escrivá
Juan Álvaro
Francisco javier Ortega
José carlos Pozuelo
Plinio Gómez
Pastor Laureano
Renato Corrales
Enrique Guzmán
Venceslás Caballero
Daniel Rolón
Fernando Peña
Kike Ramírez
Pedro Serrano
David Melero
Enrique Romero
Bautista Toro
José Matas
Balduino Ruiz
Esparta Chávez
Iván Bustamante
Jenaro Aparicio
Juana Valera
Carlos Torrecilla
Violeta Arredondo
Tadeo Correa
Freddy Tello
Abraham Camino
Wilder Zelaya
Lalo Amat
Orlando Otero
Gerardo Bastidas
José emilio Roa
Óscar Portilla
Carmen Castrillo
Alex Torrents
Hernando Reyes
Esther Zapata
Dan Silva
Octavio Santana
Ignacio Montoya
Estela Sobrino
Omar Serrato
Toni Vega
Zoé Galán
Rodrigo Alarcón
Antonio Rendón
Caridad Quintero
Arley Alvarado
Fabián Contreras
José Aguilar
Orlando Esparza
Adelardo Montes
Eusebio Vallejo
Juan Castellanos
Marisol Esquivel
Inés Falcó
Pánfilo Camacho
Inés Linares
José Aguilera
Mario Arias
Delia Cadena
Javier Mesa
Félix Amores
Javier Vergara
Adela Prado
Víctor Ortega
Luis Elorza
Ruben Mora
Blas Luque
Donato Orjuela
Natividad Hernández
Camila Mercader
Vito Gómez
Hermelinda Herrera
Alberto De jesús
Nelson Muñoz
David Parra
Andrés Armenta
Genaro Marí
Simón Arenas
Nelson Treviño
José Fabra
Vasco Cruz
Laura Varela
Maximiano López
Alonso Barela
Teodoro Vargas
Javier Ramírez
Kike Acosta
Frida Ballesteros
Guadalupe Barriga
Mauricio Vaquero
Steven Sierra
Yeison Espinoza
Adela González
Genaro Feliciano
José Montero
Ezequiel Ortiz
Dario Salas
Nayeli Barrera
Hilario Ramírez
Carla Galindo
Florencia Valls
Mateo Galan
John Sierra
Manuel Cuadrado
Aida Álvarez
Esteban Arteaga
Juan manuel Correa
Edwin Baeza
Teresa Palacios
Pedro Paz
Darío Cortez
Gilberto Alarcón
Ángel Cuevas
Nicodemo Merino
José emilio Neira
Hugo Manzanares
Timoteo Iglesia
Hilda Peña
Lilia Guzmán
Martha Aguirre
Pedro Durán
Mario Gaviria
Jose carlos Martínez
Aureliano Gurule
Andrés Amaya
Daniel Marí
Uriel Sebastián
Sara Puente
Indira Vara
Cristian Hoyos
Ignacio Orozco
José Morera
Mauricio Álvaro
Willian Acevedo
Joel Peña
Diego Lucio
Fernando Naranjo
Emilia Calderón
Juana Barranco
Jonás Ocampo
Estela Rojas
Jesús Mota
Marcial Pazos
José luis Gallegos
César Vargas
Alexis Verdú
Camilo Maldonado
Gabino Vega
Elvira Mendizábal
Ramón Cintrón
Clemente Rendón
Armando Romero
Pedro Estrada
Guiomar Ojeda
Flavio Corbacho
José luis Balderas
Fabio Ospino
Ernesto Hurtado
Miguel Cabán
Flavio Valbuena
Wilson Murcia
Jhoan Cardona
Zeferino González
Fernando Gastélum
Sofía Gómez
Roberto Vásquez
Alberto Ariza
Wilber Salazar
Albano Alvarado
Dario Guardiola
Jaime Hernández
Edwin Izaguirre
Antonio Fernández
Andrés Daza
Ezequiel Bonilla
Aurora Contreras
Ricardo García
Edwin Casares
Luis Verdejo
Antonio Sierra
Javier Catalán
Jair Esteve
David Barbosa
Cristal Granados
Federico Hernández
Maxi Lobato
Manuel Villalonga
Beatriz Salazar
Roberto Baeza
Carlos Juárez
Timoteo Montalvo
Antonio Lucio
Yolanda Pantoja
César Limón
Diego Luna
Herminio Gallo
Ruy Vásquez
Israel Muñoz
Dulce maría Leal
Enrique Cabanillas
Trinidad Adán
Moreno Rojo
Emilio Riojas
Ceferino Tomas
Venceslás Fernández
Tomás Moreno
Gonzalo Franco
Rómulo Arredondo
Lupe Monroy
Andrés Giraldo
Gregorio Hurtado
Norberto Lobo
Andrés Villa
Guiomar Anguita
Ernesto Ortega
Enrique Zamora
Natalia Acosta
María cristina Ojeda
Armando Lucio
Andrés Tovar
Felipe Camacho
Cristal Almanza
Jhon Madrigal
Óscar Pozo
José Bou
Carla Alcázar
Antonio Calvillo
Marcio Corral
Alberto Adame
Rosa Escobedo
Víctor Arnal
Estela Cantillo
Nicolás Palomino
Eduardo Gaviria
Oswaldo Vergara
Violeta León
Gabriel Cuéllar
Asdrubal Puente
Juan bautista Bonet
Juan Navarrete
Marcos Colom
Rebeca Arias
Diana Loya
Fidel Crespo
David Fuertes
Yago Jove
Edelmiro Jaimes
Timoteo Alcolea
Alejandro Bustos
Eduardo Salas
Abigail Godoy
Carlos Flórez
Lorenzo Triana
Rosalia Rolón
Jaime Miramontes
Yesid Barajas
Alexander Dávila
Martha Aragón
Luis Pineda
Citlali Galarza
Augusto Guijarro
Rufino Ortega
César Giraldo
Jorge Malave
Pedro Martínez
Estefanía Santiago
Esperanza Rico
Alta  gracia Benitez
Abilio Zamora
Javi Castro
José maría Bueno
Noé Piña
Camilo Moreno
Caridad Varela
Luis Castelló
Cirino Guevara
Rubén Londoño
Teodoro Pardo
Prudencio Pineda
Ildefonso Ochoa
Mariana Posada
Adela Jáquez
Julio García
Adrián García
Juan bautista Piña
Iván Velasco
Alirio Armas
José Naranjo
Jhon Martínez
Zeferino Garza
Darío Casals
Jose carlos Vargas
Pedro Vaca
Valero Giralt
Jesús Ayala
José ángel Cano
Manuel Carrillo
Jesús Llamas
Antonio Yepes
Victor Jaimes
Joaquín Ramírez
Melchor Muñoz
Julio Mora
Ignacio Uribe
David Pérez
Beatriz Tur
Mario Cabrera
Enrique Torrents
Benigno Velázquez
Eugenio Gaya
Ilse Arnaiz
Xavier Camargo
Modesto Codina
Maximiano Jaramillo
Marino Piquer
Juanito Luevano
Heliodoro Pedro
David Ledesma
Mario Arias
Alexander Murillo
Aníbal Nicolau
Ciriaco Anguita
Marco antonio Segarra
Humberto Mosquera
Fernando Arnal
Alma Caicedo
José antonio Granados
Anacleto Escalona
Elías Amador
Curro Farías
Luis Alcázar
Tomás Raya
Álvaro Ávila
Jose carlos Esparza
Juana Salcedo
Antonio Hidalgo
Martín Rico
Uriel Calleja
Elpidio Carrasco
Estefanía Frías
Virgilio Carmona
Cecilio Yepes
Óscar Martínez
Vicente Herrera
Marco Ospina
Salvador Castell
Daniel Torres
Eva Mata
Cecilio Robles
Gustavo Monreal
Trinidad Valverde
Luis Prieto
Rosa Ramírez
Uriel Cardona
Agustín Angulo
Julio Hoyos
Gabino Saiz
Norberto Rodríguez
Andrés Muñoz
Sergio Chacón
Michael Coello
Sessa Salamanca
Román Montenegro
Daniel Alcaraz
Nicodemo Rosselló
Elvia Álvarez
Josué Moya
Rubén Llopis
Cándido Acedo
Emilia Flor
Víctor Olivas
Nicolás Olivé
Bernardo Higueras
Neider Luna
Amílcar Saez
Gabriel Echeverría
Carlota Marín
Benjamín Tirado
Francisca Molina
Aurelio Roldán
Alexander Calderón
Herberto Buendía
Fabián Guevara
Teobaldo Cifuentes
Miguel Negrón
Esparta Hernández
Cruz Moreno
Clímaco Navarro
Alexander Parra
Severo Gutiérrez
Inés Ochoa
Teófilo Aguilar
Raquel Rosales
Mónica Olvera
Elisa Garcia
Ariel Puentes
Calisto Carballo
José Prieto
Josefina Jimínez
Juan francisco Sola
Samuel Parra
Irene Cortes
Sergio Barraza
Yecid Tamez
Mitzy Gonzalez
Evelio Calderon
Cristhian Gracia
Sandra Fabregat
Arturo Rosales
Mercedes Valencia
Eliecer España
Aurora Ceballos
Clemente Córdoba
Samuel Berrocal
Abril Gurule
Eleuterio Cabrera
Raúl Bonilla
Amador Cañas
Campo Zepeda
Joaquín Álvarez
Yeison Mendizábal
León Blanco
Mayte Mateos
Elias Cuervo
Jonathan Rivas
Leonel Martorell
Alejandra Báez
Jos López
Augusto Ramírez
Juana Reyes
Abel Viera
Armando Jiménez
María teresa Cedillo
Sancho Álvarez
Ramón Castelló
Ofelia Pereira
Ambrosio Díaz
Ramón Aragón
María luisa Carvajal
Tadeo Torres
Eduardo Arriaga
María del carmen Carrasco
Ángel Melgar
Samu Hernádez
Eloisa Santiago
Francisca Garriga
Pedro Arias
Victoriano Montes
Sebastián Codina
Luis miguel Caraballo
Juan Granado
David Arregui
Sara Robledo
Víctor Cañizares
Elvia Caballero
César Núñez
Amaro Lozada
Juan Ferreras
Gabriel Parada
Hernán Olivera
Reynaldo Lomeli
Santiago Silva
César Villareal
Cynthia Peña
Fidel Carvajal
Albano Rincón
Iker Galvez
Asunción Ortiz
Aureliano Zamudio
Sandra Barranco
Pablo Pabón
Gonzalo Palacio
Hugo Clavero
Isaac López
Darío Ulloa
Hugo Gallego
Gregorio Calvo
Gerónimo Carranza
Enrique Urrutia
Nilo Pla
Francisco javier Jimínez
Primitivo Lastra
Francisca Cuesta
Rodolfo Salcedo
Valerio Solano
Olegario Verdú
Andrés González
Cándido Manzanares
Carlos Malave
Asunción Feliu
David Sáenz
Florentino Vega
Benigno Linares
Fredy Quintero
Jorge Tejada
Hernando Vara
Enrique Piña
Arsenio Mora
Espiridión Parra
Débora Lozano
Luis Valentín
Amando Meza
Eladio Carvajal
Daniel Chacón
Valero Pelayo
Mauricio Rubio
Enrique Ortega
Christian Domínguez
Alex Leon
Santiago Contreras
Wilber Gálvez
Javier Barreto
Alfredo Torres
Elvia Caraballo
Tito Viera
Fernando Pineda
Isidro Guzmán
Quique Capdevila
Asdrubal Olivo
Alexis Gómez
Miguel Rolón
Yago Figueroa
Barbara Escalante
Stiven Hernandes
José De león
Alberto Dávila
Benito Moreno
Jhon Camacho
Ramiro Tovar
Eduardo Valdés
Tiburcio Royo
Isaac Rincón
Pilar Mosquera
Alexander Martínez
Vanesa Suárez
Rafael Almanza
Iván Pérez
Sergio Rael
Baudelio Puente
Plácido Montenegro
Alejandra Mariscal
Luis miguel Rubio
Andrés Mejía
Jacinto Carbajal
Carlos Laboy
Hernando Ramírez
Gil Loaiza
Luis Barreto
Cristian Amigó
José Moya
Mayte Batalla
Mercedes Martínez
Camilo Murcia
Timoteo Sierra
Daniel Pulido
Juan Zaragoza
Adalberto Alvarado
Ceferino Cabezas
Alta  gracia Agudelo
Amanda Salgado
Magdalena Gelabert
Andrés Valencia
Paul Roca
Joaquín Fernandez
Juan francisco Arteaga
Gilberto Pérez
Reynaldo Juan
Bianca Soto
Leonardo Jaramillo
Lino Velasco
Johan Díaz
Andrés Quintero
Javier Bastidas
Wilfrido Navarro
Juan carlos Riera
Martín Alcántar
Luz Carreño
Jeremías Pereira
Javier Moreno
Luis Bou
Tadeo Menchaca
Diego Correa
Jose ramón Gilabert
Eduardo Garrido
Joel Jaimes
Virginia Casanova
Yuridia Álvarez
Víctor Vara
Carlos Villanueva
Pancho Díaz
Adán Rascón
Dario Amador
Alexander Rivera
Isabela Nuñez
Teodoro Márquez
Violeta Gracia
Alfredo Badía
Brayan Cárdenas
Sancho Moreno
Juan Salamanca
Fabián Pons
Micaela Monsalve
Antonio Barragán
Delia Martí
Henry Burgos
Luciano Ureña
Alexander Beltrán
Hermes Díaz
Ricardo Castro
José Pazos
Cristian Mercado
Javier Amaya
Marco antonio Quiñones
Adriana Menéndez
Anastasio Canales
Bianca Salazar
Agapito Mata
Jesús Zavala
Marisela Perea
Jacinto Lemus
Carlos Becerra
Carlos Villa
Miguel ángel Casas
Marcio Arguello
Orlando Recio
Quirino Saldivar
Amanda Blanco
Jorge Silva
Iker Hernández
Claudio Díaz
Edelmiro Priego
Carlos Leal
Jose miguel Gutierrez
Emigdio Garay
Clemente Peña
Rafael Puga
Eduard Puig
Mayte Salcedo
Humberto Carrero
Leonardo Castellanos
Nelson Quintero
Sneider Mayoral
Raquel Duque
Sabas Carbajal
Aristides Blanca
Irma Tejada
Ildefonso Carvajal
María del carmen Chapa
Renato Sabater
Eduardo Cornejo
Félix Pastor
Francisco Parra
Juan Vélez
Amalia Pizarro
Felipe Saura
Delia Gaytán
Vasco Guevara
Mauricio Lebrón
Jenaro Gaviria
Héctor Rojas
Cristal Buitrago
Aureliano Adame
Humberto Velandia
Sergio Sáenz
Barbara Casas
Aurelio Montoya
Silvano Mesa
Yago Díaz
Bonifacio Vela
Alberto Dueñas
Fulgencio Montalbán
José Dueñas
Trinidad Guillen
Amanda López
Francisco javier Espinosa
Mauricio Alemán
Diego Acero
José emilio Royo
Andrés Guardado
Samu González
Gloria García
Curro Mayorga
Miguel Posada
Reinaldo Rocha
Fredy Mateo
Rubén Ocampo
Jhon Bustamante
Amelia Aramburu
Aldonza Puerta
Esmeralda Fuertes
Balduino Hernández
Antonio Tomé
Yuridia Ramis
Augusto Valcárcel
Nancy Puentes
Estefanía Anguita
Gastón Castro
Camilo Cárdenas
Guiomar Bolaños
Victoria Madrid
Manuel Cadena
Reynaldo Bárcena
Gerónimo Pacheco
Andrés Espinoza
María josé Maya
Segundo Acedo
Alcides Patiño
Ruby Cruz
Teresa Correa
Nicolás Menéndez
Emilia Villegas
Dulce maría Contreras
Bautista Colomer
Candelario Torrijos
Chema Heredia
Alberto Díaz
Adán Ureña
Julio Rosa
Segismundo Sánchez
Herminio Barrientos
Renato Rey
Abigail Leiva
Leopoldo Espinal
Severino López
Manu Garza
Jorge López
Dulce maría Osorio
Hilario Barco
Adán Sanjuan
Felipe Reyna
Camilo García
Johan Amorós
Yamid Escalona
Sebastian Arias
Diego Munguía
César Olivo
Andrés Ferrando
Jesús Silva
Jorge luis Alvarado
Gonzalo Oller
Bautista Roldán
Jonatan Tovar
Miguel Rascón
Eduardo Pujadas
Camilo Durán
Elena Sepúlveda
Valentín Escrivá
Bernardo Mendoza
Wilfrido Vargas
Alberto Ferrán
Horacio Mosquera
Walter Orozco
Diego Pino
Cristhian Carrión
Alexander Rueda
Calixto Rincón
Juan Solana
Iker Rodríguez
Román Samaniego
Reinaldo Romero
Diego De la o
Juan Caro
Amaro Gómez
Juan josé Cervantes
Eduardo Vargas
Lisandro Montalvo
Modesto Murillo
Emilio Herrera
Alberto Gaytán
Isaac Murillo
Francisco javier Pujol
Carlos Téllez
Luis Segura
Stiven Farré
Ángela Manzanares
Ramiro Escobar
Jorge Segovia
Carlos Hoz
José Díaz
Asdrubal Caraballo
Eloy Pérez
Antonio Silva
Henry Fonseca
Elías Barros
Zeferino Herranz
Benito Bétancourt
Fito Segarra
Javi Moreno
Leonor Arriaga
Julio Hoyos
Jesús Valdez
Nando Díaz
Judith Gómez
Mario Torres
Abelardo Triana
Fortunato Pérez
Helena Ríos
Cristobal Chavarría
Francisco javier Suárez
Luis Marin
Elsa Rojo
Francisco javier Bou
Víctor González
Sara Ramón
Eloy Duarte
William Castell
Emilio Serrano
Fernando Gaona
Raúl Rodríguez
Ruy Londoño
Diana Fortuny
Aurelio Vazquez
Bianca Armendáriz
Chuy Luna
Elías Anaya
Leonor Ribas
Abel Gutiérrez
Alicia Rincón
Fernando Cortés
Miguel López
Agustín Córdova
Bautista Cruz
Evaristo Villa
Ruby Barranco
Aurora Vigil
Alfonso Díaz
José Briones
Desiderio Salcedo
José Vela
Luis Salas
Gilberto Plana
Alirio Jiménez
Juan Guajardo
Lourdes Santana
Rosalia Rincón
Porfirio Chamorro
Salvador Miramontes
Smith Jover
Antonio Ureña
Estela Maldonado
Andrés Uribe
Salvador Saldaña
Fidel Nuñez
Juan Morales
Orlando Quero
Hugo Vázquez
Luis Caraballo
José luis Polanco
Mario Márquez
Rocío Briseño
Reyes Alzate
Maximiliano Catalá
Feliciano Armendáriz
Fernando Ruiz
Norberto Ruiz
Libardo Zavala
Ricardo Gómez
Leonel García
Miguel Ruiz
Catalina Boix
Elías Guzmán
José emilio Saiz
Jesús Piña
Nelson Almonte
Daniel Manrique
Lourdes Ferrero
Amanda Ocampo
Carlos Ropero
Manuel Parada
José Galvis
Nicolás Gómez
Jaime Carvajal
Camilo Pacheco
Soledad Villalobos
Hugo González
Ignacio Gámez
Cipriano Maza
Ferney Sánchez
René Cruz
Ana Gargallo
Francisco Berenguer
Bernabé Casárez
Maxi Alvarado
Francisco Rolón
Anel Mondragón
Adán Rocha
Martín Sandoval
Fernando Gaviria
José Heredia
Inés Ortega
José Mendoza
Fabián Serrano
Bonifacio Sanabria
Lope Valdés
Marisela Roman
Aurora Ramos
Ofelia Pichardo
Julián Tórrez
Hipólito Ocampo
Alberto Gilabert
Jorge Jurado
Yolanda Muñoz
Gerardo Venegas
José Vaquero
Alberto Belmonte
Basilio Quintanilla
Indira Bernal
Julio Mariscal
Simón Báez
Leonardo Alfaro
Francisco javier Villa
José Baquero
Juana Cortés
Marco Fabra
Fernando Arboleda
Fabián Alfonso
Silvio Almaraz
Jesús Redondo
Jairo Armendáriz
Eric Grijalva
David Díaz
Jairo Sierra
Gabriel Sarabia
Serafín Peláez
Susana Cruz
David Quintero
Rocío Pera
Pedro Calderón
Gaspar Arriaga
Felipe Murillo
Javier Leal
Jorge Castro
Salvador Cerdán
Felix Bustos
Isaac Sosa
Rosa Estevez
René Izquierdo
Edwin Villar
Jaime González
Mauricio Cavazos
Régulo Álvaro
Esteban Castillo
Manuel Cáceres
Francisco javier Villena
Arturo Rey
Luis Rojas
Alejandro Jerez
Bernardo Berenguer
Jairo Leiva
Norberto Pérez
Javier Caraballo
Juan Pérez
Enrique Alcalá
Fabián Galán
Felipe Perea
Jhonatan Monsalve
Omar Magaña
Amado Valverde
Hugo Carmona
Augusto Rojas
Alejandro Juárez
Dulce Sánchez
Leonardo Perales
Claudio Mora
Fabiola Zabaleta
Sebastián Aller
Aurelio Pera
Ceferino Sala
Adolfo Plana
Esteban Valencia
Maximiano Ortiz
Mario Becerra
Lorenzo Flores
Luis Casado
Fernando Montaño
Zeferino Rojo
Nelson Díaz
Damián León
Pilar Taboada
Jhon Arias
Octavio Bustos
Luz Pantoja
Juan Salcido
Enrique Delgado
Alicia Cuevas
Modesto Collado
Jorge Seco
Ceferino Portillo
María Díaz
Alfredo Arriaga
Guillermina Magaña
Carlos Marín
Claudio Juan
Roberto Chavarría
Rubén Aguirre
Eduardo Pinto
Cornelio Baena
Juan Chaparro
Clemente Ochoa
Genaro Lira
Adela Pabón
Fidel Cruz
Hernán Gómez
Eliecer Palomino
Jorge Cornejo
Angelino Núñez
Elias Quintanilla
Rolando Paz
Gustavo Valverde
Alejandro Marín
Inés Rico
Faustino Ibarra
Héctor Castilla
Ernesto Rocamora
Úrsula Carbajal
Steven Robledo
Diego Sánchez
Custodio Real
David Sarabia
Isabela Quintana
Ruben Carrasco
Andrés Morata
León Alarcón
Minerva Gallo
Nico Villa
James Arevalo
Hilda Ruelas
Alex Jiménez
Rosendo Trujillo
Andrés Alcázar
Concepción Pantoja
Humberto Vargas
José Alegre
Sosimo Bautista
Trinidad Torrens
Juan Arranz
Reynaldo Corral
León Rios
Marcos Guerrero
Guadalupe Valderrama
Joel Sáez
Jairo Exposito
Paola Garmendia
Jorge Alzate
Mateo Londoño
Libardo Aranda
Vasco Vargas
Elías Blazquez
Óscar Marrero
Marino Moreno
Eduardo Pavón
Victorino Peinado
José emilio Gaitán
Jesús Osorio
Albeiro Durán
Germán Suárez
Arley Pedrero
Rodrigo Acevedo
Feliciano Blanco
Darío Bernad
Emiliano Maestre
Jenaro Ríos
José Robles
Minerva Villalpando
Gabriel Hernádez
Noemí Capdevila
Dalia Carreón
David Angarita
Miriam González
Victoria Bedoya
Socorro Galindo
Indira Correa
Mario Pérez
Dani Castellanos
Feliciano Fabra
Luis Castro
Luciano Salazar
Sebastián Fajardo
Pío Téllez
Kevin Moya
Cristian Saldaña
Melchor Navarro
Andrés Solé
Yesid Ríos
Genaro Pedraza
Juan Londoño
Jordán Pozuelo
Felipe González
Julián Fajardo
Bruno Ocampo
Juan Mejía
Vidal Serra
Oswaldo Mosquera
Luis Amaya
Julia Valles
Leopoldo Pavón
Lorenzo García
Luis Mora
Jorge Soto
Guiomar Torres
Diego Martínez
Gabriel Segovia
Gerardo Tolosa
Bartolomé Rodrígez
Jorge Yuste
Francisco Mateos
Camila Reyna
Bartolomé Ruelas
Pablo Olivo
Leopoldo Navarro
Ilse Pabón
Alexander Medina
Aureliano Salazar
Valerio Sureda
Porfirio Aragón
Carlos Pizarro
Jos Gaona
Sergio Ariza
Julio Castro
Yecid Guerra
Cristian Ibarra
Juan Acosta
Ricardo Polo
Margarita Soto
Gerardo Salvador
Virginia Palmer
Eutimio Ángel
Sara Torres
Fredy Mascareñas
Margarita Mir
Benjamín Fabregat
Adalberto Otero
Jorge Verdugo
Joaquín Quintero
Yeni Carrera
Marisela Uribe
Soledad Pérez
Jonathan Mur
Camilo Portillo
Juan Pons
Vicente Aparicio
Norberto Narváez
Nelson Jiménez
Diana Barrera
Isaías Perea
Elena Hernández
Delia Luna
Daniel Agudo
Abel Vega
Ariel Robledo
Darío Benitez
Antonio Trejo
Susana Díaz
Cecilio Navarro
Mariano Rincón
Iván Bermúdez
Porfirio Arias
Severo Albero
Serafín Pacheco
Alex Valderrama
Luis Carranza
Leopoldo Verduzco
Iván Mesa
Clímaco Valle
Guillermo Hernández
Jorge Griego
Alfredo Saavedra
Manuel Rodríguez
Perla Robles
Sebastián Verduzco
Ángel Tijerina
Israel Calderón
Buenaventura Núñez
Diego Gómez
Lalo Heras
Haroldo Vall
Florentino Catalán
Andrés Longoria
Helena Sanabria
Alonso Caballero
Paco Cueto
Jacinto Herrera
Andrés Delgado
Clara Ochoa
Alvaro Colón
Luis Hoyos
Elena Lara
Francisco Gutierrez
Alejandro Valderrama
Trinidad Casillas
Mario Lucio
Ramiro Carmona
José Zapata
Miriam Llobet
Juanito Novoa
Albeiro Sánchez
Rosendo Padilla
Gabriel Muñoz
Vicente Mena
Nacio Linares
Marcio Peralta
Miriam Nicolás
León Perez
Jorge Avilés
Jose angel López
Paulina Baños
Eleuterio Salinas
Guillermo Múñiz
Brayan Concepción
Vidal Yáñez
Alberto Morales
Maxi Valadez
Claudio Martínez
Cristhian Angarita
José Caro
José luis Vargas
Borja Lara
Héctor Aguirre
Wilfredo Casanova
Mateo Plaza
Edison Santos
Luciano Roldán
Miguel Restrepo
Carlos Vergara
Tania Rascón
Gonzalo López
Gerardo Lugo
Gabriel Peña
Lalo Salgado
Fredy Pol
Bernabé Macías
Rafael Correa
Linda Belmonte
Omar Anguita
Eutropio Ramírez
Rodolfo Alcolea
Omar Torres
Paco Villaseñor
Plinio Juárez
Norberto Aranda
Jairo Múgica
Jaqueline Hurtado
Leonel Jiménez
María elena Casanova
Andrés Mejía
Cosme Aguilera
Johan Londoño
Fernando Ulibarri
Calisto Villamizar
Óscar Alarcón
Juan manuel Gargallo
Claudio Orjuela
Carlos Esquibel
Fernando Reynoso
Luis Olivas
Manuel Fiol
Omar Palomo
Alejandro Granados
Kike Montenegro
Uriel Coloma
Ariel Jordán
Andrés Mora
Itzel Aguirre
Cristian Mendoza
Hugo Rodríguez
Virginia Quintanilla
Germán Adán
Óscar Sauceda
Antonio Verdú
Alejandro Reyes
Miguel ángel Hernández
Edison Méndez
Óscar Urrutia
Alfonso Gómez
Alirio Maestas
Claudio Vera
Hugo Gonzales
Yolanda Bernal
