Kliment Odintsov
Ivan Bobylev
Dorofey Gorbunov
Emmanuil Yakushev
Danila Aleksandrov
Potap Kolesnikov
Avksentiy Nesterov
Prov Tarasov
Porfiriy Kuznetsov
Anatoliy Fedorov
Pavel Gerasimov
Lavr Stepanov
Luchezar Myasnikov
Agap Potapov
Radovan Denisov
Lavrentiy Fedoseev
Sergey Titov
Solomon Ignatov
Zosima Suvorov
Kondrat Teterin
Vsemil Kondrat'ev
Rostislav Lukin
Budimir Arkhipov
Nikanor Prokhorov
Anisim Kabanov
Vyacheslav Gavrilov
Boris Savin
Isidor Fokin
Modest Ignatov
Ul'yan Kulagin
Antip Nikiforov
Apollinariy Volkov
Pimen Fedoseev
Gerasim Kudryavtsev
Gleb Efremov
Igor' Golubev
Varlaam Moiseev
Ostap Antonov
Aleksandr Vlasov
Mir Rogov
Vikentiy Vinogradov
Dem'yan Zhdanov
Lyubomir Isakov
Guriy Medvedev
Lev Egorov
Apollon Sokolov
Arefiy Fedorov
Budimir Orekhov
Galaktion Potapov
Budimir Sorokin
Ignatiy Myasnikov
Dobroslav Subbotin
Fadey Matveev
Prokl Kovalev
Sigizmund Panfilov
Ustin Pavlov
Amvrosiy Isaev
Elisey Lukin
Mikhail Kovalev
Evsey Teterin
Mechislav Evdokimov
Lev Krasil'nikov
Avtonom Kulikov
Antonin D'yachkov
Gostomysl Isaev
Yuriy Biryukov
Kas'yan Krylov
Nikanor Pakhomov
Fotiy Kotov
Kim Danilov
Afinogen Aleksandrov
Samuil Sharov
Avksentiy Nikiforov
Avksentiy Petukhov
Firs D'yachkov
Filaret Kabanov
Timur Evseev
Vikentiy Kiselev
Vadim Vishnyakov
Zakhar Tarasov
Osip Ryabov
Kupriyan Naumov
Vsemil Kulagin
Prov Gerasimov
Sofron Gromov
Prov Alekseev
Feofan Mironov
Boleslav Terent'ev
Valeriy Solov'ev
Askol'd Polyakov
Egor Nazarov
Avdey Eliseev
Isay Frolov
Amos Myasnikov
Radim Davydov
Milovan Vlasov
Yuliy Semenov
Mir Myasnikov
Tvorimir Komissarov
Prokhor Fomichev
Evgraf Korolev
Dorofey Terent'ev
Tvorimir Eliseev
Pankrat Vasil'ev
Savva Burov
Ostromir Kopylov
Lavrentiy Trofimov
Sila Nazarov
Ignatiy Khokhlov
Matvey Fedoseev
Kazimir Isakov
Vladilen Yakovlev
Andrey Gusev
Milan Korolev
Khariton Silin
Ippolit Pakhomov
Artemiy Myasnikov
Avtonom Yakushev
Budimir Dmitriev
Nikita Afanas'ev
Boleslav Denisov
Viktorin D'yachkov
Stanislav Murav'ev
Milan Zinov'ev
Svetozar Kotov
Vsevolod Andreev
Boyan Filippov
Marian Tret'yakov
Averkiy Kapustin
Panfil Vorontsov
Elizar Davydov
Nikolay Tret'yakov
Selivan Dement'ev
Eremey Dorofeev
Avtonom Kulakov
Apollinariy Zykov
Kapiton Maksimov
Mstislav Zaytsev
Filimon Volkov
Izot Kapustin
Ustin Sysoev
Vseslav Danilov
Valer'yan Safonov
Vseslav Lapin
Budimir Dmitriev
