Bernardo Ulibarri
Verónica Hernández
Benjamín Salamanca
Raúl Rolón
Wilmer Medina
Tania Pulido
Osvaldo López
Noelia Acedo
Salvador Herrero
Dario Collado
Martha Tapia
Jeisson Pagès
Esneider Gomila
Dolores Martínez
Alexander Calderón
Raúl Palacios
José Antón
Carlos Almaraz
Rodrigo Murillo
Samu Saucedo
Enrique Oliva
Isaías Tórrez
Carlos Castillo
Fernando Pinzón
Orlando Colón
Heriberto Samaniego
Marcos Toledo
Chuy Rodríguez
Isidoro Sanchez
Clímaco Burgos
Guadalupe Chapa
María luisa Rendón
Helena Arellano
Alfonso Hurtado
Raúl Ripoll
Felipe Contreras
Jaqueline López
Julio Batista
Jhon Cisneros
Wilson Bañuelos
Andrés Bustos
César Ramírez
Ruben Torrijos
Juan antonio Barragán
Ignacio Jaimes
Prudencio Soliz
Maximiliano Quirós
Carlos Frías
Efraín Peinado
Elvia Sánchez
Rebeca León
Diego Llopis
Linda Vargas
Carlito Alemán
Manuel Carrera
Dani Corral
Franco Pagès
Fortunato Bustos
Erasmo Torres
Verónica Sandoval
José carlos Alarcón
Sandalio Rico
Néstor Vanegas
Alta  gracia Tamez
Seve Lebrón
Joaquín Henríquez
Gregorio Salvà
Salomón Guzmán
María eugenia Pérez
Reynaldo Belmonte
Jorge Juárez
Wilfrido Vilar
Ramiro Ávila
Rosario Amaya
Enrique Gamez
Clemente Arce
Amalia Castro
Hernán Mantilla
Renato Martínez
Mario Lloret
Eloy Loya
José Molina
Evelio Centeno
Porfirio Trujillo
Aarón Rocha
Luis Castillo
Richard Pabón
Edwin Manrique
Tadeo Cerón
René Jove
Marcos López
Delia Gallardo
Elías Rosero
Ignacio Cardona
Manuel Piña
Amando Pabón
Luis Ocampo
Eduar Ávalos
Jose manuel Torres
Salomón Vásquez
Fernando Duque
Abilio Roque
John Azorin
León Antón
Jesús Posada
Mateo Gaviria
Fabio Lozano
Alvaro Vargas
Marlon Mondragón
Javi Ochoa
Alonso Estrada
Ruperto Ródenas
Carlos Bertrán
Margarita Torres
Cornelio Crespo
Leonardo López
Calisto Rodriguez
Dulce maría Gutiérrez
Lorenzo García
Marciano Terán
Nancy Perez
Henry Serrano
José manuél De la torre
Fabián Velázquez
Vasco Montes
Celestino Barroso
Olga Hidalgo
Lisandro Sans
Teófilo Echevarría
Brayan Martínez
Alicia Salcedo
Luis Lozano
Bruno Henao
Agustín Rocamora
Marcelo Pelayo
Esperanza Pujol
Juan Díaz
Íñigo Pujadas
Adela Sierra
Jaime Quintero
Adalberto Hurtado
Pedro Barbosa
Emilio Rosales
Carlos Pichardo
Cristóbal García
Camilo Garay
Jose angel Barrios
José eduardo Alvarado
Patricia Santos
Albert Báez
José Gutiérrez
Samu Concepción
Eutropio Zapata
David Ramírez
Iván Quintero
Antonio Vaquero
Heriberto Mendizábal
Eduardo Rodríguez
Tadeo Arango
Horacio Caraballo
Miguel Lamas
Jorge luis Solsona
Leonel Restrepo
Alfredo Hinojosa
Jorge Ródenas
Rocío Delgado
Antonio Carrillo
Conrado Daza
Zacarías García
Néstor Ordóñez
Mateo Gollum
Elsa Caicedo
Daniel Pérez
Mónica Barrios
Luis Alcántar
Martin Bermúdez
Andrés Haro
Rafael Reyes
Andrés Corral
Cristal Blanco
Edgar Galiano
Eloy Galvis
Noé Toro
Iván Recio
Rosa Vigil
Helena Rojo
Diana Garzón
Arturo Terrazas
Miguel Griego
Aristides Lluch
David Velasco
Lorena Vargas
Andrés Ribas
Casemiro Solano
Ramón Villanueva
Alberto Rentería
Gonzalo Pelayo
Carlos Carrillo
Teobaldo Orozco
Santiago Romero
Salvador Medina
Cecilio Elorza
Raúl Julián
Patricio Iglesias
Leoncio Ibañez
Vicente Solorio
Jairo Castrillo
Rogelio Alejandro
Nacio Gurule
Joel Azorin
Natanael Olivárez
Eduardo Prado
Felix Villamizar
Juan Alonso
Patricia Zepeda
Gerardo Rodríguez
Maximiliano Ortiz
Mateo Vargas
Chus Valle
Ramiro León
José Viñas
Javier Santiago
Armando Rivero
Rebeca Guzmán
Leonel Barranco
David Parra
Bonifacio Mendoza
Guillermo Herrera
Amalia Contreras
Hernán Negrón
Catalina Campo
Oswaldo Rivera
Oswaldo Vargas
Rómulo Guerrero
Cristian Caicedo
Camilo Gracia
Pánfilo Marquez
Julio Blázquez
Adolfo Bertrán
Mariano Ortiz
Alexander Córdova
César Villar
Luis Castellanos
Dalia Miguel
Cornelio Cortés
Carlos Roa
Rafael Ferrer
Sofía Alvarado
Candelario Sierra
Alberto Ríos
Candelario Razo
José mari Valladares
Teófilo Carvajal
Vicente Rojas
Mitzy Dávila
Nel Chacón
Segundo Franco
Ignacio López
Miguel Villegas
Daniela Quesada
Felipe Ortiz
Andrea Batalla
Bonifacio Fábregas
Chucho Pérez
Gabino Abella
Hermelinda Ureña
Patricio Rodríquez
Jairo Peralta
Andrés Priego
Gerardo Castillo
Adriana Ardila
Jorge Agustín
Miguel Galvis
Miguel ángel Asensio
Fabián Tamarit
Marcelino Aparicio
Amado Zapata
Vanesa Miranda
Antonio Urbina
Pepito Bastidas
Salma Polo
Alberto Diez
Fabio Suárez
Santiago Leal
Graciela Pineda
Raúl Montes
Onofre Caraballo
Iván Quintero
Tulio Granados
Telmo Díaz
Edwin Roldán
Pastor Galiano
Celso Saiz
José luis Restrepo
Graciela Ortiz
Juan Tudela
Diana Carrillo
Antonio Mejía
Esmeralda Quiñónez
Marcio Aragonés
Felipe Méndez
Jeison Treviño
Abelardo Guardado
Ruby Pérez
Rodrigo Martínez
Ruy Ballesteros
Germán Mateu
Albino Juárez
Teófilo González
Mariano Hernádez
Marisela Rius
Alejandra Olivera
Diego Zamorano
María eugenia Ferrándiz
Margarita Meléndez
Cayetano Muñoz
Vinicio Casanova
Jhonatan Hernández
Américo Linares
Jenaro Torralba
Fabio Roura
Maximiliano Reynoso
Efrén Portilla
Jesús Sepúlveda
Didier Ariza
Ernesto Partida
Armando Rubio
Faustino Carpio
Alma Carvajal
Cristian Alonso
José Muñoz
Ángel Salgado
Jacinto Viana
Aldonza Sánchez
Esmeralda Carrasco
Daniel Suarez
Luis Torres
Germán Serrano
Gerardo Verdú
Isaías Alba
Augusto Arias
Emilia Acosta
Jaime Reyes
Hermenegildo Quintero
Antonio Camacho
Tiburcio Negrón
Antonio Muñoz
Fabián Álamo
Valentín Viera
Ernesto Diego
Rodrigo Reyna
Francisca Cervantes
Elsa Villagómez
Alexander Riascos
Jordán Marco
Luisa Pizarro
Marcela Olivares
Matías Adame
Ovidio Martínez
Roberto Cazares
Emiliano Meneses
Hernán Chapa
Leopoldo Madera
Marisol Torres
Luis ángel Carlos
Luís Ardila
Baldomero Abella
Sandalio Sánchez
Trinidad Candelaria
Marcela Vera
Andrés Agudelo
Jhon Morell
Ciríaco Negrete
José emilio Olivárez
Jair Cuesta
Dulce maría Heredia
Rosendo Erazo
Jose luis Cardona
Camilo Pedraza
Rafael Ruiz
Milton Fonseca
Lalo Salamanca
Brayan Morales
Adán Fajardo
Salvador Rodríguez
Luis manuel Vega
Jhon Moreno
Sneider Ocampo
Ignacio Castellanos
Natanael Sauceda
Andrés Tapia
Geovanny Nogueira
Miguel ángel Flórez
Conrado Galindo
Andrés Olivera
Luisa Tomás
Modesto Pol
Rodrigo Macías
Pepe Ortiz
Gilberto Trujillo
Leonor Carvajal
Sebastián Granado
Jorge Gálvez
Micaela Vela
Fausto Vicente
Narciso Sanabria
Mario Madrigal
Dan Muñoz
Nayeli Gutiérrez
Mariano Calderon
Rodolfo Sánchez
Estefanía Saiz
Manuel Medina
Orlando Peña
Natalia Ramis
Mariano Mendoza
David Álvarez
Víctor Polo
Felipe Anaya
Leonardo Alva
Teobaldo Benavides
Noé Barreto
Espartaco Tapia
Esteban Garrido
Armando Paz
José antonio Nebot
Jacinto Restrepo
Soledad Ayala
Pepito Chaparro
Sebastián Cáceres
Lucas Cardona
Nacho Quintero
Yeison Feliu
Daniel Álvarez
Juan manuel Bas
Teodoro Osorio
Luz Macías
Liliana Mesa
Luis Tudela
Wálter Alemán
Antonio Palacios
Yeferson Roman
Perla Velasco
Adolfo Jiménez
Ruby Soria
Álvaro Londoño
Orlando Granados
Miguel ángel Rodríguez
Kevin Cabrera
Alejandro Amaya
Aníbal Borrego
Jos Hernández
Javier Moliner
Enrique Núñez
Nel García
Dolores Del río
Manuel Torres
Felipe Mosquera
Guiomar Jasso
Santos Viana
Apolinar Polanco
Jose francisco Ortega
Mario Salazar
Venceslás Agullo
Luis Pinilla
Pascual Saldivar
José Piquer
Porfirio Escobar
Javier Cardona
Reynaldo Meza
Alejandro Ocaña
Norma Sabater
Aurelio Armengol
Adela Villegas
Blanca Garriga
Jair Vera
Reyes Reyna
Heliodoro Covarrubias
Javier Aragón
Carmen Carbajal
Cesar Vidal
Ciríaco Escobar
Aldo Lozano
Jorge luis Salvador
Eduardo Alejandro
José Peres
Natividad Zapata
Nazaret Mora
Juan Bravo
Guillermo Osorio
Felix Canales
César Patiño
Óscar Puente
Bonifacio Díaz
Andrés Martínez
Leonardo De anda
Mayte Garrido
Javier Puga
Toño Hernández
Natanael Jiménez
Wálter Sacristán
Humberto Duarte
Alexander Verdugo
Angelino Véliz
Severino Ruiz
Ivonne Frutos
Javier Noriega
Fernando Valladares
Martin Valencia
Jairo Niño
Andrés Guerra
María cristina Fajardo
Rufino Tudela
Victor manuel Montes
Nazaret Solano
Alfonso Pabón
Fabio Cervántez
Soledad Preciado
Esperanza Salgado
Mauro Zaragoza
Juan Ortega
Adelardo Dávila
Bernardo Marín
Johan Saura
Carlos Pérez
Anacleto Hoyos
Rafael Santillán
Salvador Mate
Juan antonio Vives
Tristán Ochoa
Alcides Bonet
Elvira Mendoza
David Rentería
Paola Vargas
Pedro Pichardo
Arcelia Anguiano
Alberto Montoya
Olivia Mosquera
Alexander Cabanillas
Horacio Jiménez
Ernesto Preciado
Carlito Sanches
Artemio Baeza
María del carmen Molins
Sebastián Murcia
Nacho Gutiérrez
Zacarías Mate
Steven Cardona
Alexander Cárdenas
Sonia Romero
Berta Roybal
Timoteo Cardenas
Olga Mejía
Mario Castillo
Teodoro De anda
Ángel Salvador
Freddy Ortiz
Camilo Posada
Mauricio Cañas
Norberto Anguita
Víctor Cordero
Tristán Téllez
Marino Aguilar
Tomás León
Hugo Angulo
Gilberto Maestas
Celia Barrios
Junior Valera
Aitor Sierra
Esteban Alva
Hermelinda Quintero
Sebastián Chaparro
Mitzy Llanos
Amador Acevedo
Oswaldo Tello
Saturnino Escobar
Lucas Rueda
Reynaldo Palacios
Omar Guerrero
Tiburcio Arribas
Eduardo Gil
John Casals
Daniel Peña
Bruno Villarreal
Benito Aguayo
Prudencio Casado
Francisco javier Bello
Jorge Valls
Armando Sans
Berta Lovato
Juan Vara
Ciríaco López
Samuel Restrepo
Blas Fierro
Dario Arteaga
Salvador Dalmau
Arsenio Jove
Maximiliano Amor
Feliciano Barrera
Mónica Julián
Antonio Del río
Andrés Lerma
Marisela Mata
Mauricio Urrutia
Clemente Otero
Lalo Marín
Cristian Arenas
Segundo Porras
Edmundo Sierra
Andrés Tejera
Rufino Méndez
Luis Rivero
Aldonza Quintero
Curro Figueras
Alexander Garica
Ismael Sabater
Marcela Fernández
Rafael Casal
Fredy Parejo
Jerónimo Ripoll
José Díaz
Jordi Medina
Vidal Gómez
Asunción Castro
Zoé Aguilera
Anastasio Ayala
Julio césar Sánchez
Isaac Beltrán
Juan Carrión
Carlos Velasco
Tulio Alberola
Plácido Reynoso
Sabas López
León Saez
Julio Delgado
José maría Aguilera
Luis Cano
Gustavo Lucio
Héctor Hidalgo
Omar López
Cynthia Salcedo
Marcos Bernat
Pánfilo Jaramillo
Alexander Robledo
Jacobo Ordóñez
Dulce maría Lucas
Karla Ariza
Samuel Mosquera
Bonifacio Castellanos
Anselmo Vara
Richard Calderón
Carlos Narváez
Hernán Escamilla
Gerardo Muñiz
Serafín Pineda
Cruz Pombo
Martha Ríos
Juan Rodríguez
Horacio Palomino
Maxi Mosquera
Alfonso Pacheco
María Mora
Rodolfo Castellanos
Jaime Martínez
Maximiano Bosch
Hernán Canales
Luis miguel Molina
Andrés Jara
César Sastre
David Rodríguez
Mario Pérez
José Olivares
Francisca Concepción
Julián Cabrera
Gilberto Aguilera
Herminio Ochoa
Eduardo Escudero
Pablo Pantoja
Eric Montoya
Gabriel Silva
Bernabé Vanegas
Genaro Vásquez
Ricardo Medrano
Serafín Guzmán
Ignacio Bas
Jaime Nieto
Lorena Fuentes
Jacinto Caballero
Ibán Beltrán
José Peñas
Campo López
Jaime Vela
Victoria Montoya
Baltasar Vilaplana
Sonia Llorens
Alma Morera
Miguel ángel Galan
Lorena Morales
Oswaldo Valencia
Alex Garzón
Aida Ayala
Rodrigo Quintana
Elpidio García
Virginia Cruz
José Aragón
Fabián Navarro
Pastor Morante
Benito Zaragoza
Alejandro Méndez
Alexander Artigas
Camila Benavídez
Bernardo Pantoja
Alberto Morales
Enrique Flórez
Juan josé Santamaría
Cynthia Pont
Hilario Polanco
Borja Salcedo
Hugo Carrera
María del carmen Guajardo
Jorge Ramírez
Alonso Sobrino
Pánfilo Araujo
Pedro Ávila
Amaro Fabregat
Cesar Limón
Enrique Canales
Juan Pacheco
Maximiano Mesa
Manuel Codina
Omar Baños
Gonzalo Nicolás
Ariel Romero
José Iglesias
Alexander Elorza
Simón Falcón
Mario Sarabia
Pío Jover
Genaro Zapata
José maría Castañeda
Ivonne Melo
Carlos Figueroa
Martín Delgado
Jose miguel Seguí
Demetrio Briseño
Guillermo Ramis
Juan carlos Sánchez
Andrés Linares
Clara Caro
Omar Chacón
Natalia León
Melchor Cabeza
Sofía Delgado
Juan Marin
José Cárdenas
Ovidio Díaz
Marisela Almazán
Miguel Muñoz
José maría Muñoz
Jairo Melero
Julio Alfaro
Mónica Correa
Mariana Cordero
Óscar Vélez
Guillermo Centeno
Inés Manjón
Jesús Pedrosa
Carlos Moreno
Ciriaco Baeza
Onofre Gil
Fernando Henríquez
José Ibarra
Álvaro Estevez
Esperanza Córdoba
Eliecer Rojas
Julio césar Rentería
Juan Soliz
Efrain Molina
Fernando Mascareñas
Fidel Díaz
Mohamed Campo
Armando Alonzo
Ricardo Oller
Sancho Abreu
Faustino Sanches
Omar Ugarte
Juan Barrios
Diana García
Citlali Camacho
Mauro Cepeda
José mari Domínguez
Jesús Carmona
Eduardo Sánchez
Abel Arellano
Marcial Martínez
Hilda Riba
Pablo Águila
Estela Madrid
Alma Ropero
Victor Iñiguez
Cesar Cisneros
René Camargo
Dan Muro
Artemio Rivero
Desiderio Sánchez
Sabas Cazorla
Antonio Miguel
Alonso Cazares
Teo Rojas
Víctor Cerdán
Alberto Murillo
Rolando Puerta
Eugenia Saavedra
Elvis Rodríguez
Rubén Olivares
Serafín Arguello
Raimundo Pedrosa
Alberto Melo
Conrado Ontiveros
Iker Perales
Sergio Herrero
Marino Abella
Martín Martínez
Gabriel Ramos
José manuel Parra
Santiago Marroquín
Jonás Galvis
Rubén Pina
Leonel Ibarra
Jorge Román
Jonatan Durán
Javier Godínez
Santiago Flórez
Eloy Alfonso
Hernando Rodríguez
Noé Jaramillo
Evelio Ortiz
Agustín Carrera
Ricardo Arias
Ignacio Gómez
Guadalupe Real
Jesús Giner
Estefanía Guevara
Jos Vargas
Carlos Montes
Matías Villarreal
Carlos Escalona
Juana Zapata
Claudia Larrea
Edinson Vargas
Ferney Ferrán
Antonio Ramos
Irene Cerdán
Rafael Duarte
Juan Vergara
Santiago Carrasco
Heliodoro Bautista
Henry Rodríguez
Germán Ríos
Natalio Blanco
Teodosio Godínez
Ángela Amaya
Celia Hernández
Elisa González
Dimas Samaniego
Jordán Posada
Alonso Romero
Andrés Pulido
Baldomero Pablo
Pedro Vaquero
Teresa Bañuelos
Luis Torres
Andrés Duque
Andrés Quesada
Simón Arenas
Berta Hurtado
Carlos García
Pancho Casares
Chus Otero
Pilar Fonseca
Gervasio Velázquez
John Alba
José mari Gargallo
Alfredo Redondo
Estela Cuervo
Sancho Roldán
Stiven Canals
Alma Rodrígez
Ángel Uribe
Serafín Cantú
Ernesto Ayala
José mari Gil
Raquel Quintanilla
Juana Herranz
Francisco Goñi
Fernando Sancho
Amador Carvajal
José eduardo Bellido
David Álvarez
Abril Jiménez
Amor Rocamora
Rolando Godínez
Mónica Godoy
Freddy Mora
José antonio Espada
Andrés Rincón
Armando Acuña
Edwin Rodríquez
Isabel Bonilla
León Busquets
Mohamed León
Jaime Ponce
Antonio Sales
Jader Leal
Alveiro Cases
Efrain Campos
Seve Benavides
Cristian Maestre
Norberto Otero
Eva Torre
Reynaldo Varela
Ciro Almanza
Angelino Mejía
Enrique Alva
Orlando Ferreras
Esmeralda Sevillano
Bernardo Pol
Toni Olivo
Francisco Ávila
Marisela Adán
Cristóbal Baeza
Reinaldo Fuertes
Antonio Pantoja
Gerónimo Tamayo
Orlando Rodríguez
Gregorio Rodríguez
Apolinar Moreno
Pío Lozano
Citlali Alba
Leonel Puga
Marco antonio Miranda
Augusto Rocha
Homero Borja
Jerónimo Amaya
Alberto Rodríguez
Vidal Martínez
Ildefonso Raya
Pascual Gallego
Nancy Roldán
Bernardo Haro
Fabiola Méndez
Victoria Morán
Jesús Venegas
Santiago Bernal
Ale Polo
Amaro Villamizar
Alirio Bohórquez
Jesús Guerrero
Richard Miguel
Aurelio Cadena
Claudia Coello
Carlos Ripoll
Ricardo Jiménez
María del carmen Elías
Simón Alba
Cornelio Ayala
Jaime De jesús
Cecilia Palomo
Kevin Loya
Francisco Real
Reinaldo Ortega
Noé Vargas
Jeremías Agudelo
David Armas
Gerónimo Castañeda
Ofelia Elías
Tulio Alfaro
Orlando Terrazas
Emilio Suárez
Vladimir Melo
Anselmo Santillán
Marisol Nicolás
Gerardo Silva
Irma Gallardo
Eusebio Juárez
Wálter Magaña
Fabio Leal
Víctor Mateu
Cristian Castro
Román Casal
Marciano Asensio
Teobaldo Loera
Jaime Perera
Octavio Forero
Carlos Bañuelos
Rafael Trejo
Bernabé Herranz
Francisca Pabón
René Marquez
Hilario Montes
José Sanmiguel
Luisa Ospino
Danilo Barón
Marco antonio Vega
Yeison Viña
Carlos Ariza
Adalberto Castillo
Graciela Bonilla
Alfredo Mora
Olga Bernal
Esperanza Pineda
Sessa Márquez
Violeta González
Edgar Cabrera
Godofredo Carrero
José Camacho
Evelio Durán
Fabio Herrera
Goyo Esparza
María luisa Restrepo
Helena Esteban
Horacio Aponte
Renato Ramos
Manuel Verdugo
Jhon Aguirre
Fabricio Zabala
Jairo Vall
Diego Camacho
Verónica Palomares
Ana Alonso
Augusto Jimínez
Cornelio Gil
Manuel Núñez
Iker Muñoz
Violeta Llopis
Luisa Brito
Micaela Vélez
Santos Figueroa
Inés Valencia
Javier Ortiz
Julio césar Posada
Cristian Olivares
Sebastian Merino
Esteban Saavedra
Augusto Soliz
Hernán Díaz
Andrés Vives
Emiliano Muñoz
María luisa García
Mauricio Anaya
Ever Rosa
Gabriel Rodríguez
Jos Ochoa
José Silva
Eva Soto
Pascual Viera
Fernando Espinal
Abraham Cantón
Leonardo Jáquez
Harvey Garzón
Rubén Curiel
Andrés Armendáriz
Cynthia Rael
Sebastián Borrego
José carlos Castro
Giovanni García
Carolina Flórez
Telmo Escobedo
Lupe Alejandro
Leoncio Blanca
José Iniesta
Juan Serrato
Fernando Alcaraz
Vicente Fortuny
Emilio Barrena
Fabiola Vélez
Quique Bustos
Jordán Morales
Helena Granados
Sebastián Ribes
Remigio Baños
Cynthia Otero
Santos Cuervo
Che Rebollo
Smith Rascón
Reina De león
Jose antonio Reyes
Inés Dalmau
Albano Bedoya
Candelario Garrido
Armando Olivares
Basilio Quezada
Josefina Lloret
Rafaél González
Gerardo Boix
Carlito Vega
Sabas Giraldo
Eduardo Valladares
Abel Portillo
Rolando Linares
Pilar Moreno
Eduardo Lucas
Mario Barrera
Araceli Huerta
Graciela Luna
Augusto Benito
Martin Marín
Bryan Romero
Lorenzo Sosa
Diego Pastor
Juan Cuellar
Aurora Armendáriz
Juan Pagès
Nicodemo García
Fulgencio Murcia
Custodio Zedillo
Graciano Sánchez
Luis Soto
Felipe Agudelo
Eugenio Borrego
Danilo Ballesteros
Emilio Raya
Alejandro Bárcena
Rocío Tamayo
Alexander López
Esperanza Godoy
Carmen Hidalgo
Angélica Perdomo
Guadalupe Carbajal
Sosimo Bautista
Marcelo Henríquez
Ana Arboleda
Cruz Ojeda
Amancio Lozada
Virgilio Llano
Alcides Caro
Antonio Benavent
Rufino Pulido
Francisco javier Forero
Zacarías Chacón
Helena Montaño
Reina Jurado
Baudelio Luján
Cristobal Malave
Juan bautista Padilla
Adolfo Martínez
Alfonso Suárez
Iker Gutiérrez
Raquel Cisneros
Sara Castellanos
Marisela Negrete
Anselmo Mendoza
Luis Gomez
Lisandro Paniagua
Jose manuel Pineda
Jairo Rico
Alexander López
Emilio Niño
Marcial Delgado
Benjamín Yepes
Jose ramón Castilla
Pablo Velasco
Alicia Borrego
Steven Serrato
Luis Ibarra
Orlando Alva
Elkin Valverde
Nelly Cornejo
Antonio Valverde
Eduardo Daza
Miguel Prat
Julio césar Montoya
Pío Reyna
Ana Mora
Celia Casillas
Kevin Cabrera
Gervasio Tamez
Jose antonio Feliu
Manuel Tovar
Luis Canales
Santiago Riascos
Carlos Salcido
Sebastián Rosselló
Sessa Borrás
Humberto Bellido
Carlos Rodríguez
Zoé Padilla
Maximiano Cotto
Josué Díaz
Marcelo Mir
Miguel ángel Lozada
Iván Cabrera
Miguel Ariza
Carlos Sotelo
Jesús Bonilla
Marcelo Rojo
Óscar Gallart
Israel Benavides
Lorenzo Garibay
Eladio Díaz
Sosimo Barrientos
Alex Vásquez
Anselmo Loera
Socorro Bustos
Freddy Mendoza
Santiago Henao
Noelia Ramírez
Fernando Arnaiz
Manuel Acevedo
Alexander Fonseca
Teresa Lemus
Adrián Marti
Gabriel Hernández
Toni Jiménez
Luis manuel Cabrera
Cristobal Gaviria
Simón Rivera
Teodosio Rascón
Luis Bonilla
Cesar Pastor
Ciriaco Jaramillo
Juan Gargallo
Rubén Bustos
Modesto Carmona
Paulino Ramón
Luz Llorente
Abigail Alvarez
Edison Maza
Araceli Longoria
Ale Rosado
Hernando Pelayo
Elias Londoño
William Ayala
Óscar Espinosa
Ariel Murcia
Pascual Gallardo
Citlali Cózar
Sosimo Tamayo
Amador Apodaca
Sessa Aguado
Leonardo Garica
Lino Sanabria
Sebastián Torres
Omar Muñoz
Silvia Arce
Antonio Sánchez
Arturo Baeza
Emilia Arias
Sergio Elizondo
Elena Perea
José Padrón
Daniel Fabregat
Luis Orellana
Jorge Alcántara
Alta  gracia Salcedo
Uriel Figueroa
Francisco Sanches
Carlos Palomo
Juanito Villalpando
Alexander Fuster
Kike Aguirre
Salvador Reyes
Judith Delgadillo
Angelino Tudela
José Gaitán
Valero Valbuena
Epifanio Perales
Diego Campillo
Yago Alberola
Joaquín Arrieta
Arturo Suárez
María josé Valles
Porfirio Mendoza
Deiby Ávila
Kevin Uribe
Carlos Ocampo
Paulino Jordá
Ángela Esquibel
Óscar Flórez
Álvaro Marrero
Teresa Hernández
Sigfrido Ferrández
Agustín Toro
Sosimo Aparicio
Daniel Guijarro
Elvis Tamayo
Teresa Velandia
Amalia Ceballos
Duilio Mariscal
Luis Hernández
Aitor Muñoz
Miguel ángel Cornejo
Yuridia Duarte
Edgar Figueroa
Victor Roque
Luis Rodríguez
Antonio Escobar
Natanael Pichardo
Aníbal Manso
Juana Vera
José Mojica
Alcides López
Carlos Velásquez
Gil Arredondo
Iván Beltrán
Nicodemo Ibañez
Ronald Guitart
Isabel Gutiérrez
Albeiro Palacios
Jose carlos Echeverría
Daniel Ospina
Faustino Castillo
Gabriel Villalobos
Patricia Giner
Natalio Colom
Jose luis Sanmartín
Rubén Rojas
Tania Prieto
Andrés Cánovas
Che Burbano
Juan Rodríguez
Joaquín Botello
Bernardo Iglesias
Jerónimo Hernández
Damián Jiménez
Miguel ángel Benavente
José Patiño
Delia Zorrilla
Alexander Calvo
Sebastián Muñoz
Alfonso Montenegro
Jonathan Iglesia
Ignacio Márquez
Amelia Domínguez
Conchita Castro
Hernán Meléndez
Fabián León
William Rodríquez
José maría Herrera
Alberto De la rosa
Julio Vall
Hernán Ballesteros
Valerio Blanch
Jesús Trejo
Vanesa Matías
Francisca Figueroa
Graciano Parra
Calisto Caballero
Omar Del valle
Leonardo Fajardo
Carlos Perea
Paulino Véliz
Rodrigo Anglada
Alexander Saez
Teófilo Durán
Cesar Armengol
Alejo Ortiz
Evelio Villa
Alcides Barela
Alberto Patiño
Héctor Catalá
Gabino Vall
Brayan Ramírez
Carlos Olvera
Eutimio Puentes
Gerónimo Verdugo
Amílcar Velásquez
Abel Molina
Adela Palacio
Wendolin Razo
Maximiliano Rodríguez
Araceli Serra
Pilar Castillo
Steven González
Demetrio López
Miguel Durán
Paola Guzmán
Bruno Rojas
Leandro Falcón
Diego Luz
Nicolás Arias
Mario Zúñiga
Alfonso Ortiz
Anel Bolaños
Alfonso Silva
Adolfo Fernández
Angélica Gastélum
Johan Solano
Cebrián Salamanca
Yeni Montes
Omar Reyes
Lucía Valls
Samuel Huertas
Flavio Serrato
Guiomar Munguía
Felipe Vargas
Hernán Villamil
Bernardo Sáenz
Berto Palau
Juan Villagómez
Wálter Briones
Federico Reséndez
